X,Y,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,DEPARTAMENTO,MUNICIPIO,RED,CODIGO__ESTABLECIMIENTO,TIPO,SUB_SEC,NIVEL,INSTITUCION,AMBITO,ZONA_O_BARRIO,DIRECCION_DEL_ESTABLECIMIENTO,HORARIO_DE_ATENCION,HORARIO,No_CAMAS_EMERGENCIA,No_CAMAS_OBSERVACION,No_CAMAS_INTERNACION,No_CAMAS_UTI,No_CAMAS_UCI,No_MEDICO_C_ITEM,No_LIC_ENF_C_ITEM,No_AUX_ENF_C_ITEM,No_MEDICO_C_CONTRATO,No_LIC_ENF_C_CONTRATO,No_AUX_ENF_C_CONTRATO,TOTAL_MEDICOS,TOTAL_LIC_ENFERMERAS,TOTAL_AUX_ENFERMERAS,TOTAL_RR_HH_BATA_BLANCA,OTROS_RRHH_C_ITEM,OTROS_RRHH_C_CONTRATO,TOTAL_RR_HH_BATA_GRIS,TELEFONO_ESTABLECIMIENTO,NOMBRE_DIRECTOR,CELULAR_RESPONSABLE,POBLAC_PROYEC_2022,LATITUD,LONGITUD,icon_url
-66.817922,-17.38213,HOSP. KAMI,DEPARTAMENTO: COCHABAMBA<br>MUNICIPIO: AYOPAYA (V. DE INDEPENDENCIA) <br>RED: INDEPENDENCIA            <br>CODIGO  ESTABLECIMIENTO: 300109<br>TIPO: HOSPITAL SEGUNDO NIVEL<br>SUB SEC: Público                       <br>NIVEL: 2do NIVEL <br>INSTITUCION: G.A.M.                             <br>AMBITO: R<br>ZONA O BARRIO: KAMI<br>DIRECCION DEL ESTABLECIMIENTO: INNOMINADA LADO CAJA NACIONAL DE SALUD LISTERIA<br>HORARIO DE ATENCION: 24 Hrs.<br>HORARIO: CONTINUO<br>No CAMAS EMERGENCIA: 1<br>No CAMAS OBSERVACION: 1<br>No CAMAS INTERNACION: 18<br>No CAMAS UTI: 0<br>No CAMAS UCI: 0<br>No MEDICO C/ITEM: 8<br>No LIC.ENF C/ITEM: 5<br>No AUX ENF C/ITEM: 3<br>No MEDICO C/CONTRATO: 0<br>No LIC ENF C/CONTRATO: 0<br>No AUX ENF C/CONTRATO: 2<br>TOTAL MEDICOS: 8<br>TOTAL LIC ENFERMERAS: 5<br>TOTAL AUX ENFERMERAS: 5<br>TOTAL RR HH BATA BLANCA: 18<br>OTROS RRHH C/ITEM: 9<br>OTROS RRHH C/CONTRATO: 5<br>TOTAL RR HH BATA GRIS: 14<br>TELEFONO ESTABLECIMIENTO: 44139925<br>NOMBRE DIRECTOR: Dr.ROMER HUGO MERCADO TARRAZONA<br>CELULAR RESPONSABLE: <br>POBLAC PROYEC 2022: 22493<br>LATITUD: -17.38213<br>LONGITUD: -66.817922,,,,,"-1","0","-1",,,COCHABAMBA,AYOPAYA (V. DE INDEPENDENCIA) ,INDEPENDENCIA            ,"300109.0",HOSPITAL SEGUNDO NIVEL,Público                       ,2do NIVEL ,G.A.M.                             ,R,KAMI,INNOMINADA LADO CAJA NACIONAL DE SALUD LISTERIA,24 Hrs.,CONTINUO,"1.0","1.0","18.0","0.0","0.0","8.0","5.0","3.0","0.0","0.0","2.0","8.0","5.0","5.0","18.0","9.0","5.0","14.0","44139925",Dr.ROMER HUGO MERCADO TARRAZONA,,"22493.0","-17.38213","-66.817922",
-65.175955,-18.203335,HOSP. CARMEN LOPEZ,DEPARTAMENTO: COCHABAMBA<br>MUNICIPIO: AIQUILE                       <br>RED: AIQUILE                  <br>CODIGO  ESTABLECIMIENTO: 300087<br>TIPO: HOSPITAL SEGUNDO NIVEL<br>SUB SEC: Público                       <br>NIVEL: 2do NIVEL <br>INSTITUCION: G.A.M.                             <br>AMBITO: U<br>ZONA O BARRIO: Z/KJOCHI<br>DIRECCION DEL ESTABLECIMIENTO: C/TERAN  FINAL <br>HORARIO DE ATENCION: 24 Hrs.<br>HORARIO: CONTINUO<br>No CAMAS EMERGENCIA: 3<br>No CAMAS OBSERVACION: 0<br>No CAMAS INTERNACION: 25<br>No CAMAS UTI: 0<br>No CAMAS UCI: 0<br>No MEDICO C/ITEM: 16<br>No LIC.ENF C/ITEM: 5<br>No AUX ENF C/ITEM: 8<br>No MEDICO C/CONTRATO: 10<br>No LIC ENF C/CONTRATO: 13<br>No AUX ENF C/CONTRATO: 6<br>TOTAL MEDICOS: 26<br>TOTAL LIC ENFERMERAS: 18<br>TOTAL AUX ENFERMERAS: 14<br>TOTAL RR HH BATA BLANCA: 58<br>OTROS RRHH C/ITEM: 18<br>OTROS RRHH C/CONTRATO: 27<br>TOTAL RR HH BATA GRIS: 45<br>TELEFONO ESTABLECIMIENTO: 4343303<br>NOMBRE DIRECTOR: Dra.TANIA EDITH BONIFACIO COPA<br>CELULAR RESPONSABLE: <br>POBLAC PROYEC 2022: 21190<br>LATITUD: -18.203335<br>LONGITUD: -65.175955,,,,,"-1","0","-1",,,COCHABAMBA,AIQUILE                       ,AIQUILE                  ,"300087.0",HOSPITAL SEGUNDO NIVEL,Público                       ,2do NIVEL ,G.A.M.                             ,U,Z/KJOCHI,C/TERAN  FINAL ,24 Hrs.,CONTINUO,"3.0","0.0","25.0","0.0","0.0","16.0","5.0","8.0","10.0","13.0","6.0","26.0","18.0","14.0","58.0","18.0","27.0","45.0","4343303",Dra.TANIA EDITH BONIFACIO COPA,,"21190.0","-18.203335","-65.175955",
-66.265089,-17.709718,HOSP. CAPINOTA,DEPARTAMENTO: COCHABAMBA<br>MUNICIPIO: CAPINOTA                      <br>RED: CAPINOTA                 <br>CODIGO  ESTABLECIMIENTO: 300181<br>TIPO: HOSPITAL SEGUNDO NIVEL<br>SUB SEC: Público                       <br>NIVEL: 2do NIVEL <br>INSTITUCION: G.A.M.                             <br>AMBITO: U<br>ZONA O BARRIO: CAPINOTA<br>DIRECCION DEL ESTABLECIMIENTO: AV. BUCHS<br>HORARIO DE ATENCION: 24 Hrs.<br>HORARIO: CONTINUO<br>No CAMAS EMERGENCIA: 0<br>No CAMAS OBSERVACION: 3<br>No CAMAS INTERNACION: 20<br>No CAMAS UTI: 0<br>No CAMAS UCI: 6<br>No MEDICO C/ITEM: 14<br>No LIC.ENF C/ITEM: 8<br>No AUX ENF C/ITEM: 12<br>No MEDICO C/CONTRATO: 7<br>No LIC ENF C/CONTRATO: 10<br>No AUX ENF C/CONTRATO: 9<br>TOTAL MEDICOS: 21<br>TOTAL LIC ENFERMERAS: 18<br>TOTAL AUX ENFERMERAS: 21<br>TOTAL RR HH BATA BLANCA: 60<br>OTROS RRHH C/ITEM: 21<br>OTROS RRHH C/CONTRATO: 18<br>TOTAL RR HH BATA GRIS: 39<br>TELEFONO ESTABLECIMIENTO: 7389178<br>NOMBRE DIRECTOR: Drt.SANDRO QUISPE  SALAZAR<br>CELULAR RESPONSABLE: 72783637<br>POBLAC PROYEC 2022: 21252<br>LATITUD: -17.709718<br>LONGITUD: -66.265089,,,,,"-1","0","-1",,,COCHABAMBA,CAPINOTA                      ,CAPINOTA                 ,"300181.0",HOSPITAL SEGUNDO NIVEL,Público                       ,2do NIVEL ,G.A.M.                             ,U,CAPINOTA,AV. BUCHS,24 Hrs.,CONTINUO,"0.0","3.0","20.0","0.0","6.0","14.0","8.0","12.0","7.0","10.0","9.0","21.0","18.0","21.0","60.0","21.0","18.0","39.0","7389178",Drt.SANDRO QUISPE  SALAZAR,"7.2783637E7","21252.0","-17.709718","-66.265089",
-65.190387,-17.740025,HOSP. TOTORA,DEPARTAMENTO: COCHABAMBA<br>MUNICIPIO: TOTORA(CBBA)                  <br>RED: TOTORA                   <br>CODIGO  ESTABLECIMIENTO: 300310<br>TIPO: HOSPITAL SEGUNDO NIVEL<br>SUB SEC: Público                       <br>NIVEL: 2do NIVEL <br>INSTITUCION: G.A.M.                             <br>AMBITO: R<br>ZONA O BARRIO: Z/SUD  <br>DIRECCION DEL ESTABLECIMIENTO: C/ GENERAL PANDO<br>HORARIO DE ATENCION: 24 Hrs.<br>HORARIO: CONTINUO<br>No CAMAS EMERGENCIA: 3<br>No CAMAS OBSERVACION: 0<br>No CAMAS INTERNACION: 28<br>No CAMAS UTI: 0<br>No CAMAS UCI: 0<br>No MEDICO C/ITEM: 13<br>No LIC.ENF C/ITEM: 4<br>No AUX ENF C/ITEM: 11<br>No MEDICO C/CONTRATO: 1<br>No LIC ENF C/CONTRATO: 2<br>No AUX ENF C/CONTRATO: 1<br>TOTAL MEDICOS: 14<br>TOTAL LIC ENFERMERAS: 6<br>TOTAL AUX ENFERMERAS: 12<br>TOTAL RR HH BATA BLANCA: 32<br>OTROS RRHH C/ITEM: 7<br>OTROS RRHH C/CONTRATO: 12<br>TOTAL RR HH BATA GRIS: 19<br>TELEFONO ESTABLECIMIENTO: 4341222<br>NOMBRE DIRECTOR: Dr.CRISTIAN JUAN ROSAS TARQUINO<br>CELULAR RESPONSABLE: <br>POBLAC PROYEC 2022: 15988<br>LATITUD: -17.740025<br>LONGITUD: -65.190387,,,,,"-1","0","-1",,,COCHABAMBA,TOTORA(CBBA)                  ,TOTORA                   ,"300310.0",HOSPITAL SEGUNDO NIVEL,Público                       ,2do NIVEL ,G.A.M.                             ,R,Z/SUD  ,C/ GENERAL PANDO,24 Hrs.,CONTINUO,"3.0","0.0","28.0","0.0","0.0","13.0","4.0","11.0","1.0","2.0","1.0","14.0","6.0","12.0","32.0","7.0","12.0","19.0","4341222",Dr.CRISTIAN JUAN ROSAS TARQUINO,,"15988.0","-17.740025","-65.190387",
-64.862153,-17.033762,HOSP. IVIRGARZAMA,DEPARTAMENTO: COCHABAMBA<br>MUNICIPIO: PUERTO VILLARROEL             <br>RED: IVIRGARZAMA              <br>CODIGO  ESTABLECIMIENTO: 300346<br>TIPO: HOSPITAL SEGUNDO NIVEL<br>SUB SEC: Público                       <br>NIVEL: 2do NIVEL <br>INSTITUCION: G.A.M.                             <br>AMBITO: U<br>ZONA O BARRIO: IVIRGARZAMA <br>DIRECCION DEL ESTABLECIMIENTO: SUECIA / COCHABAMBA<br>HORARIO DE ATENCION: 24 Hrs.<br>HORARIO: CONTINUO<br>No CAMAS EMERGENCIA: 7<br>No CAMAS OBSERVACION: 7<br>No CAMAS INTERNACION: 58<br>No CAMAS UTI: 0<br>No CAMAS UCI: 0<br>No MEDICO C/ITEM: 25<br>No LIC.ENF C/ITEM: 9<br>No AUX ENF C/ITEM: 12<br>No MEDICO C/CONTRATO: 4<br>No LIC ENF C/CONTRATO: 14<br>No AUX ENF C/CONTRATO: 13<br>TOTAL MEDICOS: 29<br>TOTAL LIC ENFERMERAS: 23<br>TOTAL AUX ENFERMERAS: 25<br>TOTAL RR HH BATA BLANCA: 77<br>OTROS RRHH C/ITEM: 18<br>OTROS RRHH C/CONTRATO: 36<br>TOTAL RR HH BATA GRIS: 54<br>TELEFONO ESTABLECIMIENTO: 44136267<br>NOMBRE DIRECTOR: Dra.CIRILA SANCHEZ ARISPE<br>CELULAR RESPONSABLE: 77954490<br>POBLAC PROYEC 2022: 62832<br>LATITUD: -17.033762<br>LONGITUD: -64.862153,,,,,"-1","0","-1",,,COCHABAMBA,PUERTO VILLARROEL             ,IVIRGARZAMA              ,"300346.0",HOSPITAL SEGUNDO NIVEL,Público                       ,2do NIVEL ,G.A.M.                             ,U,IVIRGARZAMA ,SUECIA / COCHABAMBA,24 Hrs.,CONTINUO,"7.0","7.0","58.0","0.0","0.0","25.0","9.0","12.0","4.0","14.0","13.0","29.0","23.0","25.0","77.0","18.0","36.0","54.0","44136267",Dra.CIRILA SANCHEZ ARISPE,"7.795449E7","62832.0","-17.033762","-64.862153",
-64.554744,-17.192407,HOSPITAL ENTRE RIOS,DEPARTAMENTO: COCHABAMBA<br>MUNICIPIO: ENTRE RIOS CBBA               <br>RED: IVIRGARZAMA              <br>CODIGO  ESTABLECIMIENTO: 300700<br>TIPO: HOSPITAL SEGUNDO NIVEL<br>SUB SEC: Público                       <br>NIVEL: 2do NIVEL <br>INSTITUCION: G.A.M.                             <br>AMBITO: U<br>ZONA O BARRIO: MANCO KAPAC<br>DIRECCION DEL ESTABLECIMIENTO: AV. PANAMERICANA<br>HORARIO DE ATENCION: 24 Hrs.<br>HORARIO: CONTINUO<br>No CAMAS EMERGENCIA: 8<br>No CAMAS OBSERVACION: 8<br>No CAMAS INTERNACION: 40<br>No CAMAS UTI: 0<br>No CAMAS UCI: 0<br>No MEDICO C/ITEM: 17<br>No LIC.ENF C/ITEM: 10<br>No AUX ENF C/ITEM: 10<br>No MEDICO C/CONTRATO: 1<br>No LIC ENF C/CONTRATO: 1<br>No AUX ENF C/CONTRATO: 0<br>TOTAL MEDICOS: 18<br>TOTAL LIC ENFERMERAS: 11<br>TOTAL AUX ENFERMERAS: 10<br>TOTAL RR HH BATA BLANCA: 39<br>OTROS RRHH C/ITEM: 7<br>OTROS RRHH C/CONTRATO: 10<br>TOTAL RR HH BATA GRIS: 17<br>TELEFONO ESTABLECIMIENTO: 44136175<br>NOMBRE DIRECTOR: Dra.CAROL PATRICIA MORALES SEJAS<br>CELULAR RESPONSABLE: <br>POBLAC PROYEC 2022: 38381<br>LATITUD: -17.192407<br>LONGITUD: -64.554744,,,,,"-1","0","-1",,,COCHABAMBA,ENTRE RIOS CBBA               ,IVIRGARZAMA              ,"300700.0",HOSPITAL SEGUNDO NIVEL,Público                       ,2do NIVEL ,G.A.M.                             ,U,MANCO KAPAC,AV. PANAMERICANA,24 Hrs.,CONTINUO,"8.0","8.0","40.0","0.0","0.0","17.0","10.0","10.0","1.0","1.0","0.0","18.0","11.0","10.0","39.0","7.0","10.0","17.0","44136175",Dra.CAROL PATRICIA MORALES SEJAS,,"38381.0","-17.192407","-64.554744",
-66.1236553,-17.3703698,HOSP. MARÍA INMACULADA ,DEPARTAMENTO: COCHABAMBA<br>MUNICIPIO: COCHABAMBA <br>RED: CBBA (NORTE) <br>CODIGO  ESTABLECIMIENTO: 300053<br>TIPO: HOSPITAL SEGUNDO NIVEL<br>SUB SEC: Iglesia <br>NIVEL: 2do NIVEL <br>INSTITUCION: Iglesia Católica <br>AMBITO: U<br>ZONA O BARRIO: Mesadilla Pacata Alta<br>DIRECCION DEL ESTABLECIMIENTO: Av. Bernardino Bilbao Rioja s/n<br>HORARIO DE ATENCION: 8 Hrs.<br>HORARIO: DISCONTINUO<br>No CAMAS EMERGENCIA: 0<br>No CAMAS OBSERVACION: 0<br>No CAMAS INTERNACION: 0<br>No CAMAS UTI: 0<br>No CAMAS UCI: 0<br>No MEDICO C/ITEM: 0<br>No LIC.ENF C/ITEM: 0<br>No AUX ENF C/ITEM: 0<br>No MEDICO C/CONTRATO: 3<br>No LIC ENF C/CONTRATO: 0<br>No AUX ENF C/CONTRATO: 0<br>TOTAL MEDICOS: 3<br>TOTAL LIC ENFERMERAS: 0<br>TOTAL AUX ENFERMERAS: 0<br>TOTAL RR HH BATA BLANCA: 3<br>OTROS RRHH C/ITEM: 0<br>OTROS RRHH C/CONTRATO: 3<br>TOTAL RR HH BATA GRIS: 3<br>TELEFONO ESTABLECIMIENTO: 4255331<br>NOMBRE DIRECTOR: Dra.VIRGINIA CALCINA LLAVE<br>CELULAR RESPONSABLE: <br>POBLAC PROYEC 2022: 856198<br>LATITUD: -17.3703698 <br>LONGITUD: -66.1236553 ,,,,,"-1","0","-1",,,COCHABAMBA,COCHABAMBA ,CBBA (NORTE) ,"300053.0",HOSPITAL SEGUNDO NIVEL,Iglesia ,2do NIVEL ,Iglesia Católica ,U,Mesadilla Pacata Alta,Av. Bernardino Bilbao Rioja s/n,8 Hrs.,DISCONTINUO,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0","0.0","0.0","3.0","0.0","0.0","3.0","0.0","3.0","3.0","4255331",Dra.VIRGINIA CALCINA LLAVE,,"856198.0","-17.3703698 ","-66.1236553 ",
-66.18065,-17.39464,HOSP. PROSALUD CHIMBA         ,DEPARTAMENTO: COCHABAMBA<br>MUNICIPIO: COCHABAMBA                    <br>RED: CBBA (NORTE)             <br>CODIGO  ESTABLECIMIENTO: 300076<br>TIPO: HOSPITAL SEGUNDO NIVEL<br>SUB SEC: Organismos no Gubernamentales <br>NIVEL: 2do NIVEL <br>INSTITUCION: PROSALUD                           <br>AMBITO: U<br>ZONA O BARRIO: CHIMBA<br>DIRECCION DEL ESTABLECIMIENTO: AV. MELCHOR PEREZ  DE OLGUIN<br>HORARIO DE ATENCION: 24 Hrs.<br>HORARIO: CONTINUO<br>No CAMAS EMERGENCIA: 2<br>No CAMAS OBSERVACION: 2<br>No CAMAS INTERNACION: 12<br>No CAMAS UTI: 0<br>No CAMAS UCI: 0<br>No MEDICO C/ITEM: 0<br>No LIC.ENF C/ITEM: 0<br>No AUX ENF C/ITEM: 0<br>No MEDICO C/CONTRATO: 14<br>No LIC ENF C/CONTRATO: 5<br>No AUX ENF C/CONTRATO: 10<br>TOTAL MEDICOS: 14<br>TOTAL LIC ENFERMERAS: 5<br>TOTAL AUX ENFERMERAS: 10<br>TOTAL RR HH BATA BLANCA: 29<br>OTROS RRHH C/ITEM: 0<br>OTROS RRHH C/CONTRATO: 15<br>TOTAL RR HH BATA GRIS: 15<br>TELEFONO ESTABLECIMIENTO: 3474370<br>NOMBRE DIRECTOR: Dr.IVAN HERNANY MACHICADO<br>CELULAR RESPONSABLE: <br>POBLAC PROYEC 2022: 856198<br>LATITUD: -17.39464<br>LONGITUD: -66.18065,,,,,"-1","0","-1",,,COCHABAMBA,COCHABAMBA                    ,CBBA (NORTE)             ,"300076.0",HOSPITAL SEGUNDO NIVEL,Organismos no Gubernamentales ,2do NIVEL ,PROSALUD                           ,U,CHIMBA,AV. MELCHOR PEREZ  DE OLGUIN,24 Hrs.,CONTINUO,"2.0","2.0","12.0","0.0","0.0","0.0","0.0","0.0","14.0","5.0","10.0","14.0","5.0","10.0","29.0","0.0","15.0","15.0","3474370",Dr.IVAN HERNANY MACHICADO,,"856198.0","-17.39464","-66.18065",
-66.168488,-17.3868209,HOSP. CLÍNICA COBIJA   ,DEPARTAMENTO: COCHABAMBA<br>MUNICIPIO: COCHABAMBA                    <br>RED: CBBA (NORTE)             <br>CODIGO  ESTABLECIMIENTO: 300454<br>TIPO: HOSPITAL SEGUNDO NIVEL<br>SUB SEC: Organismos Privados           <br>NIVEL: 2do NIVEL <br>INSTITUCION: Entidades Privadas                 <br>AMBITO: U<br>ZONA O BARRIO: VILLA MONTENEGRO<br>DIRECCION DEL ESTABLECIMIENTO: AV. TADEO HAENQUE Nº 1171<br>HORARIO DE ATENCION: 24 Hrs.<br>HORARIO: CONTINUO<br>No CAMAS EMERGENCIA: 2<br>No CAMAS OBSERVACION: 0<br>No CAMAS INTERNACION: 16<br>No CAMAS UTI: 0<br>No CAMAS UCI: 0<br>No MEDICO C/ITEM: 0<br>No LIC.ENF C/ITEM: 0<br>No AUX ENF C/ITEM: 0<br>No MEDICO C/CONTRATO: 3<br>No LIC ENF C/CONTRATO: 3<br>No AUX ENF C/CONTRATO: 6<br>TOTAL MEDICOS: 3<br>TOTAL LIC ENFERMERAS: 3<br>TOTAL AUX ENFERMERAS: 6<br>TOTAL RR HH BATA BLANCA: 12<br>OTROS RRHH C/ITEM: 0<br>OTROS RRHH C/CONTRATO: 8<br>TOTAL RR HH BATA GRIS: 8<br>TELEFONO ESTABLECIMIENTO: 4282228<br>NOMBRE DIRECTOR: Dr.RENE CAMPOS MENDOZA<br>CELULAR RESPONSABLE: <br>POBLAC PROYEC 2022: 856198<br>LATITUD: -17.3868209<br>LONGITUD: -66.168488,,,,,"-1","0","-1",,,COCHABAMBA,COCHABAMBA                    ,CBBA (NORTE)             ,"300454.0",HOSPITAL SEGUNDO NIVEL,Organismos Privados           ,2do NIVEL ,Entidades Privadas                 ,U,VILLA MONTENEGRO,AV. TADEO HAENQUE Nº 1171,24 Hrs.,CONTINUO,"2.0","0.0","16.0","0.0","0.0","0.0","0.0","0.0","3.0","3.0","6.0","3.0","3.0","6.0","12.0","0.0","8.0","8.0","4282228",Dr.RENE CAMPOS MENDOZA,,"856198.0","-17.3868209","-66.168488",
-66.17095,-17.35744,CENTRO MEDICO QUIRURGICO FERREL  ,DEPARTAMENTO: COCHABAMBA<br>MUNICIPIO: COCHABAMBA                    <br>RED: CBBA (NORTE)             <br>CODIGO  ESTABLECIMIENTO: 300603<br>TIPO: HOSPITAL SEGUNDO NIVEL<br>SUB SEC: Organismos Privados           <br>NIVEL: 2do NIVEL <br>INSTITUCION: Entidades Privadas                 <br>AMBITO: U<br>ZONA O BARRIO: TICTI NORTE <br>DIRECCION DEL ESTABLECIMIENTO: KITU ESQUINA TUTAYAY  <br>HORARIO DE ATENCION: 24 Hrs.<br>HORARIO: CONTINUO<br>No CAMAS EMERGENCIA: 1<br>No CAMAS OBSERVACION: 1<br>No CAMAS INTERNACION: 6<br>No CAMAS UTI: 0<br>No CAMAS UCI: 0<br>No MEDICO C/ITEM: 0<br>No LIC.ENF C/ITEM: 0<br>No AUX ENF C/ITEM: 0<br>No MEDICO C/CONTRATO: 1<br>No LIC ENF C/CONTRATO: 4<br>No AUX ENF C/CONTRATO: 0<br>TOTAL MEDICOS: 1<br>TOTAL LIC ENFERMERAS: 4<br>TOTAL AUX ENFERMERAS: 0<br>TOTAL RR HH BATA BLANCA: 5<br>OTROS RRHH C/ITEM: 0<br>OTROS RRHH C/CONTRATO: 2<br>TOTAL RR HH BATA GRIS: 2<br>TELEFONO ESTABLECIMIENTO: 4472596<br>NOMBRE DIRECTOR: Dra.BETZY GLADYS ALANIS CHAVARRIA<br>CELULAR RESPONSABLE: <br>POBLAC PROYEC 2022: 856198<br>LATITUD: -17.35744<br>LONGITUD: -66.17095,,,,,"-1","0","-1",,,COCHABAMBA,COCHABAMBA                    ,CBBA (NORTE)             ,"300603.0",HOSPITAL SEGUNDO NIVEL,Organismos Privados           ,2do NIVEL ,Entidades Privadas                 ,U,TICTI NORTE ,KITU ESQUINA TUTAYAY  ,24 Hrs.,CONTINUO,"1.0","1.0","6.0","0.0","0.0","0.0","0.0","0.0","1.0","4.0","0.0","1.0","4.0","0.0","5.0","0.0","2.0","2.0","4472596",Dra.BETZY GLADYS ALANIS CHAVARRIA,,"856198.0","-17.35744","-66.17095",
