X,Y,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,DEPARTAMENTO,MUNICIPIO,RED,CODIGO__ESTABLECIMIENTO,TIPO,SUB_SEC,NIVEL,INSTITUCION,AMBITO,ZONA_O_BARRIO,DIRECCION_DEL_ESTABLECIMIENTO,HORARIO_DE_ATENCION,HORARIO,No_CAMAS_EMERGENCIA,No_CAMAS_OBSERVACION,No_CAMAS_INTERNACION,No_CAMAS_UTI,No_CAMAS_UCI,No_MEDICO_C_ITEM,No_LIC_ENF_C_ITEM,No_AUX_ENF_C_ITEM,No_MEDICO_C_CONTRATO,No_LIC_ENF_C_CONTRATO,No_AUX_ENF_C_CONTRATO,TOTAL_MEDICOS,TOTAL_LIC_ENFERMERAS,TOTAL_AUX_ENFERMERAS,TOTAL_RR_HH_BATA_BLANCA,OTROS_RRHH_C_ITEM,OTROS_RRHH_C_CONTRATO,TOTAL_RR_HH_BATA_GRIS,TELEFONO_ESTABLECIMIENTO,NOMBRE_DIRECTOR,CELULAR_RESPONSABLE,POBLAC_PROYEC_2022,LATITUD,LONGITUD,icon_url
-67.5372,-14.43654,HOSPITAL MUNICIPAL SAN BUAN AVENTURA,DEPARTAMENTO: LA PAZ    <br>MUNICIPIO: SAN BUENA VENTURA             <br>RED: RED RURAL  1             <br>CODIGO  ESTABLECIMIENTO: 200528<br>TIPO: HOSPITAL SEGUNDO NIVEL<br>SUB SEC: Público                       <br>NIVEL: 2do NIVEL <br>INSTITUCION: C.C.H. - (Ministerio)              <br>AMBITO: R<br>ZONA O BARRIO: NORTE<br>DIRECCION DEL ESTABLECIMIENTO: AV. 16 DE JULIO/ C/  Libertad<br>HORARIO DE ATENCION: 24 Hrs.<br>HORARIO: CONTINUO<br>No CAMAS EMERGENCIA: 8<br>No CAMAS OBSERVACION: 3<br>No CAMAS INTERNACION: 34<br>No CAMAS UTI: 0<br>No CAMAS UCI: 2<br>No MEDICO C/ITEM: 10<br>No LIC.ENF C/ITEM: 2<br>No AUX ENF C/ITEM: 5<br>No MEDICO C/CONTRATO: 0<br>No LIC ENF C/CONTRATO: 1<br>No AUX ENF C/CONTRATO: 2<br>TOTAL MEDICOS: 10<br>TOTAL LIC ENFERMERAS: 3<br>TOTAL AUX ENFERMERAS: 7<br>TOTAL RR HH BATA BLANCA: 20<br>OTROS RRHH C/ITEM: 4<br>OTROS RRHH C/CONTRATO: 3<br>TOTAL RR HH BATA GRIS: 7<br>TELEFONO ESTABLECIMIENTO: S/D<br>NOMBRE DIRECTOR: Dr. ERASMO SANTOS GUTIERREZ CALLISAYA<br>CELULAR RESPONSABLE: 74050410<br>POBLAC PROYEC 2022: 9708<br>LATITUD: -14.43654<br>LONGITUD: -67.5372,,,,,"-1","0","-1",,,LA PAZ    ,SAN BUENA VENTURA             ,RED RURAL  1             ,"200528.0",HOSPITAL SEGUNDO NIVEL,Público                       ,2do NIVEL ,C.C.H. - (Ministerio)              ,R,NORTE,AV. 16 DE JULIO/ C/  Libertad,24 Hrs.,CONTINUO,"8.0","3.0","34.0","0.0","2.0","10.0","2.0","5.0","0.0","1.0","2.0","10.0","3.0","7.0","20.0","4.0","3.0","7.0",S/D,Dr. ERASMO SANTOS GUTIERREZ CALLISAYA,"7.405041E7","9708.0","-14.43654","-67.5372",
-67.902671,-17.24551,HOSPITAL  PATACAMAYA,DEPARTAMENTO: LA PAZ    <br>MUNICIPIO: PATACAMAYA                    <br>RED: RED RURAL 12             <br>CODIGO  ESTABLECIMIENTO: 200509<br>TIPO: HOSPITAL SEGUNDO NIVEL<br>SUB SEC: Público                       <br>NIVEL: 2do NIVEL <br>INSTITUCION: G.A.M.                             <br>AMBITO: R<br>ZONA O BARRIO: ZONA CENTRAL<br>DIRECCION DEL ESTABLECIMIENTO: SUCRE <br>HORARIO DE ATENCION: 24 Hrs.<br>HORARIO: CONTINUO<br>No CAMAS EMERGENCIA: 1<br>No CAMAS OBSERVACION: 1<br>No CAMAS INTERNACION: 16<br>No CAMAS UTI: 0<br>No CAMAS UCI: 0<br>No MEDICO C/ITEM: 8<br>No LIC.ENF C/ITEM: 4<br>No AUX ENF C/ITEM: 6<br>No MEDICO C/CONTRATO: 2<br>No LIC ENF C/CONTRATO: 3<br>No AUX ENF C/CONTRATO: 4<br>TOTAL MEDICOS: 10<br>TOTAL LIC ENFERMERAS: 7<br>TOTAL AUX ENFERMERAS: 10<br>TOTAL RR HH BATA BLANCA: 27<br>OTROS RRHH C/ITEM: 1<br>OTROS RRHH C/CONTRATO: 7<br>TOTAL RR HH BATA GRIS: 8<br>TELEFONO ESTABLECIMIENTO: (2)839-2755<br>NOMBRE DIRECTOR: Dr. DAVID CHOQUE ORTIZ<br>CELULAR RESPONSABLE: 67308386<br>POBLAC PROYEC 2022: 22303<br>LATITUD: -17.24551<br>LONGITUD: -67.902671,,,,,"-1","0","-1",,,LA PAZ    ,PATACAMAYA                    ,RED RURAL 12             ,"200509.0",HOSPITAL SEGUNDO NIVEL,Público                       ,2do NIVEL ,G.A.M.                             ,R,ZONA CENTRAL,SUCRE ,24 Hrs.,CONTINUO,"1.0","1.0","16.0","0.0","0.0","8.0","4.0","6.0","2.0","3.0","4.0","10.0","7.0","10.0","27.0","1.0","7.0","8.0",(2)839-2755,Dr. DAVID CHOQUE ORTIZ,"6.7308386E7","22303.0","-17.24551","-67.902671",
-69.1283,-15.6609,HOSPITAL ESCOMA,DEPARTAMENTO: LA PAZ    <br>MUNICIPIO: ESCOMA                        <br>RED: RED RURAL  3             <br>CODIGO  ESTABLECIMIENTO: 200262<br>TIPO: HOSPITAL SEGUNDO NIVEL<br>SUB SEC: Público                       <br>NIVEL: 2do NIVEL <br>INSTITUCION: G.A.M.                             <br>AMBITO: R<br>ZONA O BARRIO: ESCOMA/2DA ZONA<br>DIRECCION DEL ESTABLECIMIENTO: PLAZA 30 DE ABRIL<br>HORARIO DE ATENCION: 24 Hrs.<br>HORARIO: CONTINUO<br>No CAMAS EMERGENCIA: 1<br>No CAMAS OBSERVACION: 0<br>No CAMAS INTERNACION: 12<br>No CAMAS UTI: 0<br>No CAMAS UCI: 0<br>No MEDICO C/ITEM: 3<br>No LIC.ENF C/ITEM: 2<br>No AUX ENF C/ITEM: 2<br>No MEDICO C/CONTRATO: 3<br>No LIC ENF C/CONTRATO: 1<br>No AUX ENF C/CONTRATO: 1<br>TOTAL MEDICOS: 6<br>TOTAL LIC ENFERMERAS: 3<br>TOTAL AUX ENFERMERAS: 3<br>TOTAL RR HH BATA BLANCA: 12<br>OTROS RRHH C/ITEM: 3<br>OTROS RRHH C/CONTRATO: 7<br>TOTAL RR HH BATA GRIS: 10<br>TELEFONO ESTABLECIMIENTO: 72043791<br>NOMBRE DIRECTOR: Dr. ELVIO JUAN MARCA CONDORI <br>CELULAR RESPONSABLE: 74057686<br>POBLAC PROYEC 2022: 7412<br>LATITUD: -15.6609<br>LONGITUD: -69.1283,,,,,"-1","0","-1",,,LA PAZ    ,ESCOMA                        ,RED RURAL  3             ,"200262.0",HOSPITAL SEGUNDO NIVEL,Público                       ,2do NIVEL ,G.A.M.                             ,R,ESCOMA/2DA ZONA,PLAZA 30 DE ABRIL,24 Hrs.,CONTINUO,"1.0","0.0","12.0","0.0","0.0","3.0","2.0","2.0","3.0","1.0","1.0","6.0","3.0","3.0","12.0","3.0","7.0","10.0","72043791",Dr. ELVIO JUAN MARCA CONDORI ,"7.4057686E7","7412.0","-15.6609","-69.1283",
-67.564212,-15.830691,HOSPITAL CARANAVI,DEPARTAMENTO: LA PAZ    <br>MUNICIPIO: CARANAVI                      <br>RED: RED RURAL  7             <br>CODIGO  ESTABLECIMIENTO: 200561<br>TIPO: HOSPITAL SEGUNDO NIVEL<br>SUB SEC: Público                       <br>NIVEL: 2do NIVEL <br>INSTITUCION: G.A.M.                             <br>AMBITO: R<br>ZONA O BARRIO: Z /CENTRAL <br>DIRECCION DEL ESTABLECIMIENTO: C/ BATALLON DE INGENIEROS <br>HORARIO DE ATENCION: 24 Hrs.<br>HORARIO: CONTINUO<br>No CAMAS EMERGENCIA: 4<br>No CAMAS OBSERVACION: 3<br>No CAMAS INTERNACION: 50<br>No CAMAS UTI: 0<br>No CAMAS UCI: 0<br>No MEDICO C/ITEM: 8<br>No LIC.ENF C/ITEM: 9<br>No AUX ENF C/ITEM: 13<br>No MEDICO C/CONTRATO: 10<br>No LIC ENF C/CONTRATO: 14<br>No AUX ENF C/CONTRATO: 5<br>TOTAL MEDICOS: 18<br>TOTAL LIC ENFERMERAS: 23<br>TOTAL AUX ENFERMERAS: 18<br>TOTAL RR HH BATA BLANCA: 59<br>OTROS RRHH C/ITEM: 10<br>OTROS RRHH C/CONTRATO: 22<br>TOTAL RR HH BATA GRIS: 32<br>TELEFONO ESTABLECIMIENTO: 8232133<br>NOMBRE DIRECTOR: Dr. HENRY MAMANI LOPEZ <br>CELULAR RESPONSABLE: 74915282<br>POBLAC PROYEC 2022: 45500<br>LATITUD: -15.830691<br>LONGITUD: -67.564212,,,,,"-1","0","-1",,,LA PAZ    ,CARANAVI                      ,RED RURAL  7             ,"200561.0",HOSPITAL SEGUNDO NIVEL,Público                       ,2do NIVEL ,G.A.M.                             ,R,Z /CENTRAL ,C/ BATALLON DE INGENIEROS ,24 Hrs.,CONTINUO,"4.0","3.0","50.0","0.0","0.0","8.0","9.0","13.0","10.0","14.0","5.0","18.0","23.0","18.0","59.0","10.0","22.0","32.0","8232133",Dr. HENRY MAMANI LOPEZ ,"7.4915282E7","45500.0","-15.830691","-67.564212",
-68.28752,-16.65033,HOSPITAL MUNICIPAL VIACHA,DEPARTAMENTO: LA PAZ    <br>MUNICIPIO: VIACHA                        <br>RED: RED RURAL  6             <br>CODIGO  ESTABLECIMIENTO: 200701<br>TIPO: HOSPITAL SEGUNDO NIVEL<br>SUB SEC: Público                       <br>NIVEL: 2do NIVEL <br>INSTITUCION: G.A.M.                             <br>AMBITO: R<br>ZONA O BARRIO: SAN SALVADOR<br>DIRECCION DEL ESTABLECIMIENTO: HERNANDO SILES<br>HORARIO DE ATENCION: 24 Hrs.<br>HORARIO: CONTINUO<br>No CAMAS EMERGENCIA: 7<br>No CAMAS OBSERVACION: 8<br>No CAMAS INTERNACION: 62<br>No CAMAS UTI: 3<br>No CAMAS UCI: 0<br>No MEDICO C/ITEM: 0<br>No LIC.ENF C/ITEM: 0<br>No AUX ENF C/ITEM: 0<br>No MEDICO C/CONTRATO: 1<br>No LIC ENF C/CONTRATO: 0<br>No AUX ENF C/CONTRATO: 0<br>TOTAL MEDICOS: 1<br>TOTAL LIC ENFERMERAS: 0<br>TOTAL AUX ENFERMERAS: 0<br>TOTAL RR HH BATA BLANCA: 1<br>OTROS RRHH C/ITEM: 0<br>OTROS RRHH C/CONTRATO: 0<br>TOTAL RR HH BATA GRIS: 0<br>TELEFONO ESTABLECIMIENTO: 2800006<br>NOMBRE DIRECTOR: Dra.WILMA LIMACHI QUIROZ<br>CELULAR RESPONSABLE: 71902218<br>POBLAC PROYEC 2022: 85172<br>LATITUD: -16.65033<br>LONGITUD: -68.28752,,,,,"-1","0","-1",,,LA PAZ    ,VIACHA                        ,RED RURAL  6             ,"200701.0",HOSPITAL SEGUNDO NIVEL,Público                       ,2do NIVEL ,G.A.M.                             ,R,SAN SALVADOR,HERNANDO SILES,24 Hrs.,CONTINUO,"7.0","8.0","62.0","3.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","2800006",Dra.WILMA LIMACHI QUIROZ,"7.1902218E7","85172.0","-16.65033","-68.28752",
-68.47918797,-16.40082455,HOSPITAL MUNICIPAL PUCARANI,DEPARTAMENTO: LA PAZ    <br>MUNICIPIO: PUCARANI                      <br>RED: RED RURAL  5             <br>CODIGO  ESTABLECIMIENTO: 200471<br>TIPO: HOSPITAL SEGUNDO NIVEL<br>SUB SEC: Público                       <br>NIVEL: 2do NIVEL <br>INSTITUCION: G.A.M.                             <br>AMBITO: R<br>ZONA O BARRIO: PUCARANI<br>DIRECCION DEL ESTABLECIMIENTO: C/ CAMPERO S/N<br>HORARIO DE ATENCION: 24 Hrs.<br>HORARIO: CONTINUO<br>No CAMAS EMERGENCIA: 6<br>No CAMAS OBSERVACION: 6<br>No CAMAS INTERNACION: 24<br>No CAMAS UTI: 0<br>No CAMAS UCI: 0<br>No MEDICO C/ITEM: 2<br>No LIC.ENF C/ITEM: 1<br>No AUX ENF C/ITEM: 5<br>No MEDICO C/CONTRATO: 5<br>No LIC ENF C/CONTRATO: 4<br>No AUX ENF C/CONTRATO: 0<br>TOTAL MEDICOS: 7<br>TOTAL LIC ENFERMERAS: 5<br>TOTAL AUX ENFERMERAS: 5<br>TOTAL RR HH BATA BLANCA: 17<br>OTROS RRHH C/ITEM: 4<br>OTROS RRHH C/CONTRATO: 6<br>TOTAL RR HH BATA GRIS: 10<br>TELEFONO ESTABLECIMIENTO: 63211322<br>NOMBRE DIRECTOR: Dr. VICTOR ANTONIO FERNANDEZ<br>CELULAR RESPONSABLE: 74004981<br>POBLAC PROYEC 2022: 24795<br>LATITUD: -16.40082455<br>LONGITUD: -68.47918797,,,,,"-1","0","-1",,,LA PAZ    ,PUCARANI                      ,RED RURAL  5             ,"200471.0",HOSPITAL SEGUNDO NIVEL,Público                       ,2do NIVEL ,G.A.M.                             ,R,PUCARANI,C/ CAMPERO S/N,24 Hrs.,CONTINUO,"6.0","6.0","24.0","0.0","0.0","2.0","1.0","5.0","5.0","4.0","0.0","7.0","5.0","5.0","17.0","4.0","6.0","10.0","63211322",Dr. VICTOR ANTONIO FERNANDEZ,"7.4004981E7","24795.0","-16.40082455","-68.47918797",
-68.1238098,-16.511758,HOSPITAL DEL SEGURO SOCIAL UNIVERSITARIO,DEPARTAMENTO: LA PAZ <br>MUNICIPIO: LA PAZ <br>RED: RED - 1 SUR OESTE <br>CODIGO  ESTABLECIMIENTO: 200633<br>TIPO: HOSPITAL SEGUNDO NIVEL<br>SUB SEC: Seguridad Social (CAJAS) <br>NIVEL: 2do NIVEL <br>INSTITUCION: Seguro Universitario La Paz <br>AMBITO: U<br>ZONA O BARRIO: SOPOCACHI<br>DIRECCION DEL ESTABLECIMIENTO: 6 DE AGOSTO <br>HORARIO DE ATENCION: 24 Hrs.<br>HORARIO: CONTINUO<br>No CAMAS EMERGENCIA: 4<br>No CAMAS OBSERVACION: 4<br>No CAMAS INTERNACION: 45<br>No CAMAS UTI: 3<br>No CAMAS UCI: 0<br>No MEDICO C/ITEM: 37<br>No LIC.ENF C/ITEM: 21<br>No AUX ENF C/ITEM: 33<br>No MEDICO C/CONTRATO: 20<br>No LIC ENF C/CONTRATO: 18<br>No AUX ENF C/CONTRATO: 25<br>TOTAL MEDICOS: 57<br>TOTAL LIC ENFERMERAS: 39<br>TOTAL AUX ENFERMERAS: 58<br>TOTAL RR HH BATA BLANCA: 154<br>OTROS RRHH C/ITEM: 60<br>OTROS RRHH C/CONTRATO: 60<br>TOTAL RR HH BATA GRIS: 120<br>TELEFONO ESTABLECIMIENTO: 2434262<br>NOMBRE DIRECTOR: DraGABRIELA LIMA BOLIVAR<br>CELULAR RESPONSABLE: <br>POBLAC PROYEC 2022: 956732<br>LATITUD: -16.511758<br>LONGITUD: -68.1238098,,,,,"-1","0","-1",,,LA PAZ ,LA PAZ ,RED - 1 SUR OESTE ,"200633.0",HOSPITAL SEGUNDO NIVEL,Seguridad Social (CAJAS) ,2do NIVEL ,Seguro Universitario La Paz ,U,SOPOCACHI,6 DE AGOSTO ,24 Hrs.,CONTINUO,"4.0","4.0","45.0","3.0","0.0","37.0","21.0","33.0","20.0","18.0","25.0","57.0","39.0","58.0","154.0","60.0","60.0","120.0","2434262",DraGABRIELA LIMA BOLIVAR,,"956732.0","-16.511758","-68.1238098",
-68.12818,-16.52644,HOSPITAL UNIVERSITARIO NUESTRA SEÑORA DE LA PAZ ,DEPARTAMENTO: LA PAZ    <br>MUNICIPIO: LA PAZ                        <br>RED: RED - 1 SUR OESTE        <br>CODIGO  ESTABLECIMIENTO: 200801<br>TIPO: HOSPITAL SEGUNDO NIVEL<br>SUB SEC: Organismos Privados           <br>NIVEL: 2do NIVEL <br>INSTITUCION: Entidades Privadas                 <br>AMBITO: U<br>ZONA O BARRIO: <br>DIRECCION DEL ESTABLECIMIENTO: <br>HORARIO DE ATENCION: <br>HORARIO: <br>No CAMAS EMERGENCIA: 0<br>No CAMAS OBSERVACION: 0<br>No CAMAS INTERNACION: 0<br>No CAMAS UTI: 0<br>No CAMAS UCI: 0<br>No MEDICO C/ITEM: 0<br>No LIC.ENF C/ITEM: 0<br>No AUX ENF C/ITEM: 0<br>No MEDICO C/CONTRATO: 0<br>No LIC ENF C/CONTRATO: 0<br>No AUX ENF C/CONTRATO: 0<br>TOTAL MEDICOS: 0<br>TOTAL LIC ENFERMERAS: 0<br>TOTAL AUX ENFERMERAS: 0<br>TOTAL RR HH BATA BLANCA: 0<br>OTROS RRHH C/ITEM: 0<br>OTROS RRHH C/CONTRATO: 0<br>TOTAL RR HH BATA GRIS: 0<br>TELEFONO ESTABLECIMIENTO: S/D<br>NOMBRE DIRECTOR: S/D<br>CELULAR RESPONSABLE: <br>POBLAC PROYEC 2022: 956732<br>LATITUD: -16.52644<br>LONGITUD: -68.12818,,,,,"-1","0","-1",,,LA PAZ    ,LA PAZ                        ,RED - 1 SUR OESTE        ,"200801.0",HOSPITAL SEGUNDO NIVEL,Organismos Privados           ,2do NIVEL ,Entidades Privadas                 ,U,,,,,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",S/D,S/D,,"956732.0","-16.52644","-68.12818",
-68.1395024,-16.51537825,HOSPITAL MUNICIPAL COTAHUMA,DEPARTAMENTO: LA PAZ    <br>MUNICIPIO: LA PAZ                        <br>RED: RED - 1 SUR OESTE        <br>CODIGO  ESTABLECIMIENTO: 200871<br>TIPO: HOSPITAL SEGUNDO NIVEL<br>SUB SEC: Público                       <br>NIVEL: 2do NIVEL <br>INSTITUCION: G.A.M.                             <br>AMBITO: U<br>ZONA O BARRIO: TEMBLADERANI<br>DIRECCION DEL ESTABLECIMIENTO: AV/VICTOR AGUSTIN UGARTE<br>HORARIO DE ATENCION: 24 Hrs.<br>HORARIO: CONTINUO<br>No CAMAS EMERGENCIA: 11<br>No CAMAS OBSERVACION: 7<br>No CAMAS INTERNACION: 60<br>No CAMAS UTI: 8<br>No CAMAS UCI: 0<br>No MEDICO C/ITEM: 5<br>No LIC.ENF C/ITEM: 1<br>No AUX ENF C/ITEM: 0<br>No MEDICO C/CONTRATO: 49<br>No LIC ENF C/CONTRATO: 32<br>No AUX ENF C/CONTRATO: 48<br>TOTAL MEDICOS: 54<br>TOTAL LIC ENFERMERAS: 33<br>TOTAL AUX ENFERMERAS: 48<br>TOTAL RR HH BATA BLANCA: 135<br>OTROS RRHH C/ITEM: 3<br>OTROS RRHH C/CONTRATO: 62<br>TOTAL RR HH BATA GRIS: 65<br>TELEFONO ESTABLECIMIENTO: 2420087<br>NOMBRE DIRECTOR: Dra.ELVA EUGENIA ESPEJO ALIAGA<br>CELULAR RESPONSABLE: 72050824<br>POBLAC PROYEC 2022: 956732<br>LATITUD: -16.51537825<br>LONGITUD: -68.1395024,,,,,"-1","0","-1",,,LA PAZ    ,LA PAZ                        ,RED - 1 SUR OESTE        ,"200871.0",HOSPITAL SEGUNDO NIVEL,Público                       ,2do NIVEL ,G.A.M.                             ,U,TEMBLADERANI,AV/VICTOR AGUSTIN UGARTE,24 Hrs.,CONTINUO,"11.0","7.0","60.0","8.0","0.0","5.0","1.0","0.0","49.0","32.0","48.0","54.0","33.0","48.0","135.0","3.0","62.0","65.0","2420087",Dra.ELVA EUGENIA ESPEJO ALIAGA,"7.2050824E7","956732.0","-16.51537825","-68.1395024",
-68.145906,-16.496134,HOSPITAL LA PAZ,DEPARTAMENTO: LA PAZ    <br>MUNICIPIO: LA PAZ                        <br>RED: RED - 2 NOR OESTE        <br>CODIGO  ESTABLECIMIENTO: 200049<br>TIPO: HOSPITAL SEGUNDO NIVEL<br>SUB SEC: Público                       <br>NIVEL: 2do NIVEL <br>INSTITUCION: G.A.M.                             <br>AMBITO: U<br>ZONA O BARRIO: 14 DE SEPTIEMBRE <br>DIRECCION DEL ESTABLECIMIENTO: AV. BAPTISTA <br>HORARIO DE ATENCION: 24 Hrs.<br>HORARIO: CONTINUO<br>No CAMAS EMERGENCIA: 2<br>No CAMAS OBSERVACION: 1<br>No CAMAS INTERNACION: 60<br>No CAMAS UTI: 0<br>No CAMAS UCI: 0<br>No MEDICO C/ITEM: 60<br>No LIC.ENF C/ITEM: 6<br>No AUX ENF C/ITEM: 47<br>No MEDICO C/CONTRATO: 7<br>No LIC ENF C/CONTRATO: 16<br>No AUX ENF C/CONTRATO: 5<br>TOTAL MEDICOS: 67<br>TOTAL LIC ENFERMERAS: 22<br>TOTAL AUX ENFERMERAS: 52<br>TOTAL RR HH BATA BLANCA: 141<br>OTROS RRHH C/ITEM: 65<br>OTROS RRHH C/CONTRATO: 23<br>TOTAL RR HH BATA GRIS: 88<br>TELEFONO ESTABLECIMIENTO: 2454033<br>NOMBRE DIRECTOR: Dr.RODOLFO MARCOS JIMENEZ MEDINACELI<br>CELULAR RESPONSABLE: 72003094<br>POBLAC PROYEC 2022: 956732<br>LATITUD: -16.496134<br>LONGITUD: -68.145906,,,,,"-1","0","-1",,,LA PAZ    ,LA PAZ                        ,RED - 2 NOR OESTE        ,"200049.0",HOSPITAL SEGUNDO NIVEL,Público                       ,2do NIVEL ,G.A.M.                             ,U,14 DE SEPTIEMBRE ,AV. BAPTISTA ,24 Hrs.,CONTINUO,"2.0","1.0","60.0","0.0","0.0","60.0","6.0","47.0","7.0","16.0","5.0","67.0","22.0","52.0","141.0","65.0","23.0","88.0","2454033",Dr.RODOLFO MARCOS JIMENEZ MEDINACELI,"7.2003094E7","956732.0","-16.496134","-68.145906",
