X,Y,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,DEPARTAMENTO,MUNICIPIO,RED,CODIGO__ESTABLECIMIENTO,TIPO,SUB_SEC,NIVEL,INSTITUCION,AMBITO,ZONA_O_BARRIO,DIRECCION_DEL_ESTABLECIMIENTO,HORARIO_DE_ATENCION,HORARIO,No_CAMAS_EMERGENCIA,No_CAMAS_OBSERVACION,No_CAMAS_INTERNACION,No_CAMAS_UTI,No_CAMAS_UCI,No_MEDICO_C_ITEM,No_LIC_ENF_C_ITEM,No_AUX_ENF_C_ITEM,No_MEDICO_C_CONTRATO,No_LIC_ENF_C_CONTRATO,No_AUX_ENF_C_CONTRATO,TOTAL_MEDICOS,TOTAL_LIC_ENFERMERAS,TOTAL_AUX_ENFERMERAS,TOTAL_RR_HH_BATA_BLANCA,OTROS_RRHH_C_ITEM,OTROS_RRHH_C_CONTRATO,TOTAL_RR_HH_BATA_GRIS,TELEFONO_ESTABLECIMIENTO,NOMBRE_DIRECTOR,CELULAR_RESPONSABLE,POBLAC_PROYEC_2022,LATITUD,LONGITUD,icon_url
-64.896021,-14.826186,HOSP. COSSMIL   ,DEPARTAMENTO: BENI      <br>MUNICIPIO: TRINIDAD                      <br>RED: 01 TRINIDAD              <br>CODIGO  ESTABLECIMIENTO: 800012<br>TIPO: HOSPITAL SEGUNDO NIVEL<br>SUB SEC: Seguridad Social (CAJAS)      <br>NIVEL: 2do NIVEL <br>INSTITUCION: COSSMIL                            <br>AMBITO: U<br>ZONA O BARRIO: CENTRAL<br>DIRECCION DEL ESTABLECIMIENTO: CALLE COCHABAMBA<br>HORARIO DE ATENCION: 24 Hrs.<br>HORARIO: CONTINUO<br>No CAMAS EMERGENCIA: 1<br>No CAMAS OBSERVACION: 4<br>No CAMAS INTERNACION: 18<br>No CAMAS UTI: 2<br>No CAMAS UCI: 0<br>No MEDICO C/ITEM: 7<br>No LIC.ENF C/ITEM: 3<br>No AUX ENF C/ITEM: 16<br>No MEDICO C/CONTRATO: 14<br>No LIC ENF C/CONTRATO: 8<br>No AUX ENF C/CONTRATO: 3<br>TOTAL MEDICOS: 21<br>TOTAL LIC ENFERMERAS: 11<br>TOTAL AUX ENFERMERAS: 19<br>TOTAL RR HH BATA BLANCA: 51<br>OTROS RRHH C/ITEM: 28<br>OTROS RRHH C/CONTRATO: 7<br>TOTAL RR HH BATA GRIS: 35<br>TELEFONO ESTABLECIMIENTO: 4621718<br>NOMBRE DIRECTOR: Dr.BLADIMIR AYAVIRI<br>CELULAR RESPONSABLE: <br>POBLAC PROYEC 2022: 166262<br>LATITUD: -14.826186<br>LONGITUD: -64.896021,,,,,"-1","0","-1",,,BENI      ,TRINIDAD                      ,01 TRINIDAD              ,"800012.0",HOSPITAL SEGUNDO NIVEL,Seguridad Social (CAJAS)      ,2do NIVEL ,COSSMIL                            ,U,CENTRAL,CALLE COCHABAMBA,24 Hrs.,CONTINUO,"1","4","18","2","0","7.0","3.0","16.0","14.0","8.0","3.0","21.0","11.0","19.0","51.0","28.0","7.0","35.0","4621718",Dr.BLADIMIR AYAVIRI,,"166262","-14.826186","-64.896021",
-64.9178274,-14.8224978,CLINICA VELASCO BACIGALUPO,DEPARTAMENTO: BENI      <br>MUNICIPIO: TRINIDAD                      <br>RED: 01 TRINIDAD              <br>CODIGO  ESTABLECIMIENTO: 800324<br>TIPO: HOSPITAL SEGUNDO NIVEL<br>SUB SEC: Organismos Privados           <br>NIVEL: 2do NIVEL <br>INSTITUCION: Entidades Privadas                 <br>AMBITO: U<br>ZONA O BARRIO: URBANIZACION CHAPARAL 2 <br>DIRECCION DEL ESTABLECIMIENTO: ARMANDO LLANOS      C/ 2<br>HORARIO DE ATENCION: 12Hrs.<br>HORARIO: CONTINUO<br>No CAMAS EMERGENCIA: 3<br>No CAMAS OBSERVACION: 2<br>No CAMAS INTERNACION: 4<br>No CAMAS UTI: 1<br>No CAMAS UCI: 1<br>No MEDICO C/ITEM: 0<br>No LIC.ENF C/ITEM: 0<br>No AUX ENF C/ITEM: 0<br>No MEDICO C/CONTRATO: 4<br>No LIC ENF C/CONTRATO: 6<br>No AUX ENF C/CONTRATO: 0<br>TOTAL MEDICOS: 4<br>TOTAL LIC ENFERMERAS: 6<br>TOTAL AUX ENFERMERAS: 0<br>TOTAL RR HH BATA BLANCA: 10<br>OTROS RRHH C/ITEM: 1<br>OTROS RRHH C/CONTRATO: 8<br>TOTAL RR HH BATA GRIS: 9<br>TELEFONO ESTABLECIMIENTO: 4641777<br>NOMBRE DIRECTOR: Dr.ROBERTO VELASCO<br>CELULAR RESPONSABLE: <br>POBLAC PROYEC 2022: 166262<br>LATITUD: -14.8224978<br>LONGITUD: -64.9178274,,,,,"-1","0","-1",,,BENI      ,TRINIDAD                      ,01 TRINIDAD              ,"800324.0",HOSPITAL SEGUNDO NIVEL,Organismos Privados           ,2do NIVEL ,Entidades Privadas                 ,U,URBANIZACION CHAPARAL 2 ,ARMANDO LLANOS      C/ 2,12Hrs.,CONTINUO,"3","2","4","1","1","0.0","0.0","0.0","4.0","6.0","0.0","4.0","6.0","0.0","10.0","1.0","8.0","9.0","4641777",Dr.ROBERTO VELASCO,,"166262","-14.8224978","-64.9178274",
-64.891706,-14.823855,CLINICA CORDES,DEPARTAMENTO: BENI      <br>MUNICIPIO: TRINIDAD                      <br>RED: 01 TRINIDAD              <br>CODIGO  ESTABLECIMIENTO: 800332<br>TIPO: HOSPITAL SEGUNDO NIVEL<br>SUB SEC: Seguridad Social (CAJAS)      <br>NIVEL: 2do NIVEL <br>INSTITUCION: Caja de Salud CORDES               <br>AMBITO: U<br>ZONA O BARRIO: LOS TOCOS <br>DIRECCION DEL ESTABLECIMIENTO: CALLE Nro. 8<br>HORARIO DE ATENCION: 24 Hrs.<br>HORARIO: CONTINUO<br>No CAMAS EMERGENCIA: 1<br>No CAMAS OBSERVACION: 1<br>No CAMAS INTERNACION: 30<br>No CAMAS UTI: 1<br>No CAMAS UCI: 1<br>No MEDICO C/ITEM: 0<br>No LIC.ENF C/ITEM: 0<br>No AUX ENF C/ITEM: 0<br>No MEDICO C/CONTRATO: 4<br>No LIC ENF C/CONTRATO: 7<br>No AUX ENF C/CONTRATO: 5<br>TOTAL MEDICOS: 4<br>TOTAL LIC ENFERMERAS: 7<br>TOTAL AUX ENFERMERAS: 5<br>TOTAL RR HH BATA BLANCA: 16<br>OTROS RRHH C/ITEM: 0<br>OTROS RRHH C/CONTRATO: 9<br>TOTAL RR HH BATA GRIS: 9<br>TELEFONO ESTABLECIMIENTO: 3- 46 - 31571<br>NOMBRE DIRECTOR: Dra.AIDA HURTADO TERAN<br>CELULAR RESPONSABLE: <br>POBLAC PROYEC 2022: 166262<br>LATITUD: -14.823855<br>LONGITUD: -64.891706,,,,,"-1","0","-1",,,BENI      ,TRINIDAD                      ,01 TRINIDAD              ,"800332.0",HOSPITAL SEGUNDO NIVEL,Seguridad Social (CAJAS)      ,2do NIVEL ,Caja de Salud CORDES               ,U,LOS TOCOS ,CALLE Nro. 8,24 Hrs.,CONTINUO,"1","1","30","1","1","0.0","0.0","0.0","4.0","7.0","5.0","4.0","7.0","5.0","16.0","0.0","9.0","9.0",3- 46 - 31571,Dra.AIDA HURTADO TERAN,,"166262","-14.823855","-64.891706",
-66.747896,-14.851026,HOSPITAL MUNICIPAL DR. JOSE EDUARDO OLMOS MAEDA,DEPARTAMENTO: BENI      <br>MUNICIPIO: SAN BORJA                     <br>RED: 09 SAN BORJA             <br>CODIGO  ESTABLECIMIENTO: 800084<br>TIPO: HOSPITAL SEGUNDO NIVEL<br>SUB SEC: Público                       <br>NIVEL: 2do NIVEL <br>INSTITUCION: G.A.M.                             <br>AMBITO: U<br>ZONA O BARRIO: 16 DE JULIO<br>DIRECCION DEL ESTABLECIMIENTO: C/ LA PAZ NORTE ENTRE 2DA Y 3RA NORTE<br>HORARIO DE ATENCION: 24 Hrs.<br>HORARIO: CONTINUO<br>No CAMAS EMERGENCIA: 6<br>No CAMAS OBSERVACION: 6<br>No CAMAS INTERNACION: 27<br>No CAMAS UTI: 0<br>No CAMAS UCI: 0<br>No MEDICO C/ITEM: 17<br>No LIC.ENF C/ITEM: 5<br>No AUX ENF C/ITEM: 18<br>No MEDICO C/CONTRATO: 5<br>No LIC ENF C/CONTRATO: 4<br>No AUX ENF C/CONTRATO: 16<br>TOTAL MEDICOS: 22<br>TOTAL LIC ENFERMERAS: 9<br>TOTAL AUX ENFERMERAS: 34<br>TOTAL RR HH BATA BLANCA: 65<br>OTROS RRHH C/ITEM: 9<br>OTROS RRHH C/CONTRATO: 37<br>TOTAL RR HH BATA GRIS: 46<br>TELEFONO ESTABLECIMIENTO: 8953202<br>NOMBRE DIRECTOR: Dr.FREDDY ALBER CHAMBI GUTIERREZ<br>CELULAR RESPONSABLE: <br>POBLAC PROYEC 2022: 42262<br>LATITUD: -14.851026<br>LONGITUD: -66.747896,,,,,"-1","0","-1",,,BENI      ,SAN BORJA                     ,09 SAN BORJA             ,"800084.0",HOSPITAL SEGUNDO NIVEL,Público                       ,2do NIVEL ,G.A.M.                             ,U,16 DE JULIO,C/ LA PAZ NORTE ENTRE 2DA Y 3RA NORTE,24 Hrs.,CONTINUO,"6","6","27","0","0","17.0","5.0","18.0","5.0","4.0","16.0","22.0","9.0","34.0","65.0","9.0","37.0","46.0","8953202",Dr.FREDDY ALBER CHAMBI GUTIERREZ,,"42262","-14.851026","-66.747896",
-67.521571,-14.438583,HOSP. RURRENABAQUE,DEPARTAMENTO: BENI      <br>MUNICIPIO: RURRENABAQUE                  <br>RED: 06 BALLIVIAN             <br>CODIGO  ESTABLECIMIENTO: 800093<br>TIPO: HOSPITAL SEGUNDO NIVEL<br>SUB SEC: Público                       <br>NIVEL: 2do NIVEL <br>INSTITUCION: G.A.M.                             <br>AMBITO: U<br>ZONA O BARRIO: Zona Norte<br>DIRECCION DEL ESTABLECIMIENTO: Calle Ayacucho<br>HORARIO DE ATENCION: 24 Hrs.<br>HORARIO: DISCONTINUO<br>No CAMAS EMERGENCIA: 0<br>No CAMAS OBSERVACION: 0<br>No CAMAS INTERNACION: 22<br>No CAMAS UTI: 0<br>No CAMAS UCI: 6<br>No MEDICO C/ITEM: 14<br>No LIC.ENF C/ITEM: 5<br>No AUX ENF C/ITEM: 18<br>No MEDICO C/CONTRATO: 5<br>No LIC ENF C/CONTRATO: 4<br>No AUX ENF C/CONTRATO: 3<br>TOTAL MEDICOS: 19<br>TOTAL LIC ENFERMERAS: 9<br>TOTAL AUX ENFERMERAS: 21<br>TOTAL RR HH BATA BLANCA: 49<br>OTROS RRHH C/ITEM: 19<br>OTROS RRHH C/CONTRATO: 23<br>TOTAL RR HH BATA GRIS: 42<br>TELEFONO ESTABLECIMIENTO: 892-2025<br>NOMBRE DIRECTOR: Dr.ELIAS MORENO VARGAS<br>CELULAR RESPONSABLE: <br>POBLAC PROYEC 2022: 21580<br>LATITUD: -14.438583<br>LONGITUD: -67.521571,,,,,"-1","0","-1",,,BENI      ,RURRENABAQUE                  ,06 BALLIVIAN             ,"800093.0",HOSPITAL SEGUNDO NIVEL,Público                       ,2do NIVEL ,G.A.M.                             ,U,Zona Norte,Calle Ayacucho,24 Hrs.,DISCONTINUO,"0","0","22","0","6","14.0","5.0","18.0","5.0","4.0","3.0","19.0","9.0","21.0","49.0","19.0","23.0","42.0",892-2025,Dr.ELIAS MORENO VARGAS,,"21580","-14.438583","-67.521571",
-66.06312,-11.00654,H.B. RIBERALTA,DEPARTAMENTO: BENI      <br>MUNICIPIO: RIBERALTA                     <br>RED: 07 RIBERALTA             <br>CODIGO  ESTABLECIMIENTO: 800041<br>TIPO: HOSPITAL SEGUNDO NIVEL<br>SUB SEC: Público                       <br>NIVEL: 2do NIVEL <br>INSTITUCION: G.A.M.                             <br>AMBITO: U<br>ZONA O BARRIO: SANTA ROSA DE LIMA.<br>DIRECCION DEL ESTABLECIMIENTO: AV. BENI MAMORE <br>HORARIO DE ATENCION: 24 Hrs.<br>HORARIO: CONTINUO<br>No CAMAS EMERGENCIA: 7<br>No CAMAS OBSERVACION: 6<br>No CAMAS INTERNACION: 52<br>No CAMAS UTI: 3<br>No CAMAS UCI: 0<br>No MEDICO C/ITEM: 0<br>No LIC.ENF C/ITEM: 0<br>No AUX ENF C/ITEM: 0<br>No MEDICO C/CONTRATO: 0<br>No LIC ENF C/CONTRATO: 0<br>No AUX ENF C/CONTRATO: 0<br>TOTAL MEDICOS: 0<br>TOTAL LIC ENFERMERAS: 0<br>TOTAL AUX ENFERMERAS: 0<br>TOTAL RR HH BATA BLANCA: 0<br>OTROS RRHH C/ITEM: 6<br>OTROS RRHH C/CONTRATO: 0<br>TOTAL RR HH BATA GRIS: 6<br>TELEFONO ESTABLECIMIENTO: 852-2223<br>NOMBRE DIRECTOR: Dr.MARCELO FISCHER VARGAS PARRA <br>CELULAR RESPONSABLE: <br>POBLAC PROYEC 2022: 114869<br>LATITUD: -11.00654<br>LONGITUD: -66.06312,,,,,"-1","0","-1",,,BENI      ,RIBERALTA                     ,07 RIBERALTA             ,"800041.0",HOSPITAL SEGUNDO NIVEL,Público                       ,2do NIVEL ,G.A.M.                             ,U,SANTA ROSA DE LIMA.,AV. BENI MAMORE ,24 Hrs.,CONTINUO,"7","6","52","3","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.0","0.0","6.0",852-2223,Dr.MARCELO FISCHER VARGAS PARRA ,,"114869","-11.00654","-66.06312",
-66.06107,-11.00124,HOSP. MATERNO REIDUM ROINE,DEPARTAMENTO: BENI      <br>MUNICIPIO: RIBERALTA                     <br>RED: 07 RIBERALTA             <br>CODIGO  ESTABLECIMIENTO: 800051<br>TIPO: HOSPITAL SEGUNDO NIVEL<br>SUB SEC: Público                       <br>NIVEL: 2do NIVEL <br>INSTITUCION: G.A.M.                             <br>AMBITO: U<br>ZONA O BARRIO: SANTA ROSA DE LIMA <br>DIRECCION DEL ESTABLECIMIENTO: Av. FINAL  CHUQUISACA <br>HORARIO DE ATENCION: 24 Hrs.<br>HORARIO: CONTINUO<br>No CAMAS EMERGENCIA: 4<br>No CAMAS OBSERVACION: 3<br>No CAMAS INTERNACION: 82<br>No CAMAS UTI: 2<br>No CAMAS UCI: 2<br>No MEDICO C/ITEM: 12<br>No LIC.ENF C/ITEM: 6<br>No AUX ENF C/ITEM: 6<br>No MEDICO C/CONTRATO: 3<br>No LIC ENF C/CONTRATO: 8<br>No AUX ENF C/CONTRATO: 4<br>TOTAL MEDICOS: 15<br>TOTAL LIC ENFERMERAS: 14<br>TOTAL AUX ENFERMERAS: 10<br>TOTAL RR HH BATA BLANCA: 39<br>OTROS RRHH C/ITEM: 24<br>OTROS RRHH C/CONTRATO: 7<br>TOTAL RR HH BATA GRIS: 31<br>TELEFONO ESTABLECIMIENTO: 852-2223<br>NOMBRE DIRECTOR: Dr.JOSE LUIS PEREIRA GARCIA<br>CELULAR RESPONSABLE: <br>POBLAC PROYEC 2022: 114869<br>LATITUD: -11.00124<br>LONGITUD: -66.06107,,,,,"-1","0","-1",,,BENI      ,RIBERALTA                     ,07 RIBERALTA             ,"800051.0",HOSPITAL SEGUNDO NIVEL,Público                       ,2do NIVEL ,G.A.M.                             ,U,SANTA ROSA DE LIMA ,Av. FINAL  CHUQUISACA ,24 Hrs.,CONTINUO,"4","3","82","2","2","12.0","6.0","6.0","3.0","8.0","4.0","15.0","14.0","10.0","39.0","24.0","7.0","31.0",852-2223,Dr.JOSE LUIS PEREIRA GARCIA,,"114869","-11.00124","-66.06107",
-66.0515222,-11.0128889,HOSPITAL OBRERO NO 69     ,DEPARTAMENTO: BENI      <br>MUNICIPIO: RIBERALTA                     <br>RED: 07 RIBERALTA             <br>CODIGO  ESTABLECIMIENTO: 800234<br>TIPO: HOSPITAL SEGUNDO NIVEL<br>SUB SEC: Seguridad Social (CAJAS)      <br>NIVEL: 2do NIVEL <br>INSTITUCION: Caja Nacional de Salud             <br>AMBITO: U<br>ZONA O BARRIO: Z/ D 1ro DE SEPTIEMBRE <br>DIRECCION DEL ESTABLECIMIENTO: AV.ALISO  GUAYACAN  VERDOLAGO MANZ. 24 <br>HORARIO DE ATENCION: 24 Hrs.<br>HORARIO: CONTINUO<br>No CAMAS EMERGENCIA: 4<br>No CAMAS OBSERVACION: 2<br>No CAMAS INTERNACION: 66<br>No CAMAS UTI: 6<br>No CAMAS UCI: 0<br>No MEDICO C/ITEM: 18<br>No LIC.ENF C/ITEM: 11<br>No AUX ENF C/ITEM: 24<br>No MEDICO C/CONTRATO: 16<br>No LIC ENF C/CONTRATO: 14<br>No AUX ENF C/CONTRATO: 7<br>TOTAL MEDICOS: 34<br>TOTAL LIC ENFERMERAS: 25<br>TOTAL AUX ENFERMERAS: 28<br>TOTAL RR HH BATA BLANCA: 87<br>OTROS RRHH C/ITEM: 46<br>OTROS RRHH C/CONTRATO: 38<br>TOTAL RR HH BATA GRIS: 84<br>TELEFONO ESTABLECIMIENTO: 852-3329<br>NOMBRE DIRECTOR: Dr.LUIS EDUARDO PLAZA SORUCO<br>CELULAR RESPONSABLE: <br>POBLAC PROYEC 2022: 114869<br>LATITUD: -11.0128889<br>LONGITUD: -66.0515222,,,,,"-1","0","-1",,,BENI      ,RIBERALTA                     ,07 RIBERALTA             ,"800234.0",HOSPITAL SEGUNDO NIVEL,Seguridad Social (CAJAS)      ,2do NIVEL ,Caja Nacional de Salud             ,U,Z/ D 1ro DE SEPTIEMBRE ,AV.ALISO  GUAYACAN  VERDOLAGO MANZ. 24 ,24 Hrs.,CONTINUO,"4","2","66","6","0","18.0","11.0","24.0","16.0","14.0","7.0","34.0","25.0","28.0","87.0","46.0","38.0","84.0",852-3329,Dr.LUIS EDUARDO PLAZA SORUCO,,"114869","-11.0128889","-66.0515222",
-65.36608,-10.84244,HOSP. LUIS ALBERTO NAVARRO RODRIGUEZ ,DEPARTAMENTO: BENI      <br>MUNICIPIO: GUAYARAMERIN                  <br>RED: 08 GUAYARAMERIN          <br>CODIGO  ESTABLECIMIENTO: 800062<br>TIPO: HOSPITAL SEGUNDO NIVEL<br>SUB SEC: Público                       <br>NIVEL: 2do NIVEL <br>INSTITUCION: G.A.M.                             <br>AMBITO: U<br>ZONA O BARRIO: VILLA EVO<br>DIRECCION DEL ESTABLECIMIENTO: AV. ALTO DE LA ALIANZA/ CALLE Nº 20/CALLE Nº 22<br>HORARIO DE ATENCION: 24 Hrs.<br>HORARIO: CONTINUO<br>No CAMAS EMERGENCIA: 2<br>No CAMAS OBSERVACION: 4<br>No CAMAS INTERNACION: 32<br>No CAMAS UTI: 0<br>No CAMAS UCI: 3<br>No MEDICO C/ITEM: 13<br>No LIC.ENF C/ITEM: 6<br>No AUX ENF C/ITEM: 14<br>No MEDICO C/CONTRATO: 5<br>No LIC ENF C/CONTRATO: 0<br>No AUX ENF C/CONTRATO: 0<br>TOTAL MEDICOS: 18<br>TOTAL LIC ENFERMERAS: 6<br>TOTAL AUX ENFERMERAS: 14<br>TOTAL RR HH BATA BLANCA: 38<br>OTROS RRHH C/ITEM: 11<br>OTROS RRHH C/CONTRATO: 26<br>TOTAL RR HH BATA GRIS: 37<br>TELEFONO ESTABLECIMIENTO: 8553628<br>NOMBRE DIRECTOR: Dr.JOSE ANTONIO QUIROGA<br>CELULAR RESPONSABLE: <br>POBLAC PROYEC 2022: 51188<br>LATITUD: -10.84244<br>LONGITUD: -65.36608,,,,,"-1","0","-1",,,BENI      ,GUAYARAMERIN                  ,08 GUAYARAMERIN          ,"800062.0",HOSPITAL SEGUNDO NIVEL,Público                       ,2do NIVEL ,G.A.M.                             ,U,VILLA EVO,AV. ALTO DE LA ALIANZA/ CALLE Nº 20/CALLE Nº 22,24 Hrs.,CONTINUO,"2","4","32","0","3","13.0","6.0","14.0","5.0","0.0","0.0","18.0","6.0","14.0","38.0","11.0","26.0","37.0","8553628",Dr.JOSE ANTONIO QUIROGA,,"51188","-10.84244","-65.36608",
-65.35907,-10.81533,HOSPITAL OBRERO Nº 15 GUAYARAMERIN   ,DEPARTAMENTO: BENI      <br>MUNICIPIO: GUAYARAMERIN                  <br>RED: 08 GUAYARAMERIN          <br>CODIGO  ESTABLECIMIENTO: 800069<br>TIPO: HOSPITAL SEGUNDO NIVEL<br>SUB SEC: Seguridad Social (CAJAS)      <br>NIVEL: 2do NIVEL <br>INSTITUCION: Caja Nacional de Salud             <br>AMBITO: U<br>ZONA O BARRIO: SAN PEDRO<br>DIRECCION DEL ESTABLECIMIENTO: AV. 9  de abril<br>HORARIO DE ATENCION: 24 Hrs.<br>HORARIO: CONTINUO<br>No CAMAS EMERGENCIA: 3<br>No CAMAS OBSERVACION: 5<br>No CAMAS INTERNACION: 24<br>No CAMAS UTI: 0<br>No CAMAS UCI: 0<br>No MEDICO C/ITEM: 9<br>No LIC.ENF C/ITEM: 8<br>No AUX ENF C/ITEM: 12<br>No MEDICO C/CONTRATO: 17<br>No LIC ENF C/CONTRATO: 9<br>No AUX ENF C/CONTRATO: 7<br>TOTAL MEDICOS: 26<br>TOTAL LIC ENFERMERAS: 17<br>TOTAL AUX ENFERMERAS: 19<br>TOTAL RR HH BATA BLANCA: 62<br>OTROS RRHH C/ITEM: 25<br>OTROS RRHH C/CONTRATO: 17<br>TOTAL RR HH BATA GRIS: 42<br>TELEFONO ESTABLECIMIENTO: 8553580<br>NOMBRE DIRECTOR: Dr.FRANS YUNIOR  ALIAGA<br>CELULAR RESPONSABLE: <br>POBLAC PROYEC 2022: 51188<br>LATITUD: -10.81533<br>LONGITUD: -65.35907,,,,,"-1","0","-1",,,BENI      ,GUAYARAMERIN                  ,08 GUAYARAMERIN          ,"800069.0",HOSPITAL SEGUNDO NIVEL,Seguridad Social (CAJAS)      ,2do NIVEL ,Caja Nacional de Salud             ,U,SAN PEDRO,AV. 9  de abril,24 Hrs.,CONTINUO,"3","5","24","0","0","9.0","8.0","12.0","17.0","9.0","7.0","26.0","17.0","19.0","62.0","25.0","17.0","42.0","8553580",Dr.FRANS YUNIOR  ALIAGA,,"51188","-10.81533","-65.35907",
