X,Y,Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,DEPARTAMEN,MUNICIPIO,RED,CODIGO_EST,TIPO,SUB_SEC,NIVEL,INSTITUCIO,AMBITO,ZONA_O_BAR,DIRECCION_,HORARO_DE_,HORARIO,No_CAMAS_E,No_CAMAS_O,No_CAMAS_I,No_CAMAS_U,No_CAMAS_1,No_MEDICO_,No_LIC_ENF,No_AUX_ENF,No_MEDIC_1,No_LIC_E_1,No_AUX_E_1,TOTAL_MEDI,TOTAL_LIC_,TOTAL_AUX_,TOTAL_RR_H,OTROS_RRHH,OTROS_RR_1,TOTAL_RR_1,TELEFONO_E,NOMBRE_DIR,CELULAR_RE,POBLAC_PRO,LATITUD,LONGITUD,layer,path,icon_url
-64.48091,-14.8748,CASARABE,DEPARTAMENTO: BENI      <br>MUNICIPIO: TRINIDAD<br>RED: 01 TRINIDAD<br>CODIGO_ESTABLECIMIENTO: 800002<br>TIPO: C.S. CON INTERNACION<br>SUB_SEC: Público<br>NIVEL: 1er NIVEL<br>INSTITUCION: G.A.M.<br>AMBITO: U<br>ZONA_O_BARRIO: B/SANTA CRUZ<br>DIRECCION_E,,,,,"-1","0","-1",,,BENI,TRINIDAD,01 TRINIDAD,"800002.0",C.S. CON INTERNACION,Público,1er NIVEL,G.A.M.,U,B/SANTA CRUZ,AV. HUGO BANZER,12 Hrs.,DISCONTINUO,"0.0","0.0","5.0","0.0","0.0","2.0","0.0","2.0","0.0","1.0","0.0","2.0","1.0","2.0","5.0","2.0","5.0","7.0",S/T,ALAN URRIOLAGOITIA MALUE,,"956732.0","-14.8748","-64.48091",migra1_1ernivel,D:\SIGDGGH\mapas\migra1_1ernivel.shp,./0.png
-64.96022,-14.765086,LOMA SUAREZ,DEPARTAMENTO: BENI      <br>MUNICIPIO: TRINIDAD<br>RED: 01 TRINIDAD<br>CODIGO_ESTABLECIMIENTO: 800003<br>TIPO: C.S. CON INTERNACION<br>SUB_SEC: Público<br>NIVEL: 1er NIVEL<br>INSTITUCION: G.A.M.<br>AMBITO: R<br>ZONA_O_BARRIO: LOMA SUAREZ<br>DIRECCION_ES,,,,,"-1","0","-1",,,BENI,TRINIDAD,01 TRINIDAD,"800003.0",C.S. CON INTERNACION,Público,1er NIVEL,G.A.M.,R,LOMA SUAREZ,CALLE BARTOS,12 Hrs.,CONTINUO,"2.0","2.0","4.0","0.0","0.0","2.0","0.0","2.0","0.0","1.0","0.0","2.0","1.0","2.0","5.0","1.0","5.0","6.0",S/T,JUAN MANUEL GALARZA,,"956732.0","-14.765086","-64.96022",migra1_1ernivel,D:\SIGDGGH\mapas\migra1_1ernivel.shp,./0.png
-64.90469,-14.832273,TRINIDAD (CENTRAL),DEPARTAMENTO: BENI      <br>MUNICIPIO: TRINIDAD<br>RED: 01 TRINIDAD<br>CODIGO_ESTABLECIMIENTO: 800006<br>TIPO: C.S. AMBULATORIO<br>SUB_SEC: Público<br>NIVEL: 1er NIVEL<br>INSTITUCION: G.A.M.<br>AMBITO: U<br>ZONA_O_BARRIO: Z/ CENTRAL<br>DIRECCION_ESTABLE,,,,,"-1","0","-1",,,BENI,TRINIDAD,01 TRINIDAD,"800006.0",C.S. AMBULATORIO,Público,1er NIVEL,G.A.M.,U,Z/ CENTRAL,C/ NICOLAS SUAREZ,12 Hrs.,CONTINUO,"0.0","0.0","0.0","0.0","0.0","13.0","1.0","9.0","3.0","0.0","3.0","16.0","1.0","12.0","29.0","17.0","6.0","23.0",S/T,CHARLES ARTEAGA,,"956732.0","-14.832273","-64.90469",migra1_1ernivel,D:\SIGDGGH\mapas\migra1_1ernivel.shp,./0.png
-64.89884,-14.823985,SAN JOSE,DEPARTAMENTO: BENI      <br>MUNICIPIO: TRINIDAD<br>RED: 01 TRINIDAD<br>CODIGO_ESTABLECIMIENTO: 800007<br>TIPO: C.S. AMBULATORIO<br>SUB_SEC: Público<br>NIVEL: 1er NIVEL<br>INSTITUCION: G.A.M.<br>AMBITO: U<br>ZONA_O_BARRIO: SAN JOSÉ<br>DIRECCION_ESTABLEC,,,,,"-1","0","-1",,,BENI,TRINIDAD,01 TRINIDAD,"800007.0",C.S. AMBULATORIO,Público,1er NIVEL,G.A.M.,U,SAN JOSÉ,AV.18 DE NOVIEMBRE,12 Hrs.,CONTINUO,"0.0","0.0","0.0","0.0","0.0","3.0","0.0","2.0","0.0","3.0","0.0","3.0","3.0","2.0","8.0","6.0","4.0","10.0","34621322",PAULA VICTORIA DORADO OJOPI,,"956732.0","-14.823985","-64.89884",migra1_1ernivel,D:\SIGDGGH\mapas\migra1_1ernivel.shp,./0.png
-64.91399,-14.832487,SAN VICENTE,DEPARTAMENTO: BENI      <br>MUNICIPIO: TRINIDAD<br>RED: 01 TRINIDAD<br>CODIGO_ESTABLECIMIENTO: 800008<br>TIPO: C.S. CON INTERNACION<br>SUB_SEC: Público<br>NIVEL: 1er NIVEL<br>INSTITUCION: G.A.M.<br>AMBITO: U<br>ZONA_O_BARRIO: SAN VICENTE<br>DIRECCION_ES,,,,,"-1","0","-1",,,BENI,TRINIDAD,01 TRINIDAD,"800008.0",C.S. CON INTERNACION,Público,1er NIVEL,G.A.M.,U,SAN VICENTE,C / MACHETEROS,24 Hrs.,CONTINUO,"1.0","2.0","6.0","0.0","0.0","3.0","1.0","2.0","11.0","10.0","3.0","14.0","11.0","5.0","30.0","3.0","17.0","20.0",S/T,NINFA GLADYS GASPAR MAMANI,,"956732.0","-14.832487","-64.91399",migra1_1ernivel,D:\SIGDGGH\mapas\migra1_1ernivel.shp,./0.png
-64.91147,-14.844955,PEDRO MARBAN,DEPARTAMENTO: BENI      <br>MUNICIPIO: TRINIDAD<br>RED: 01 TRINIDAD<br>CODIGO_ESTABLECIMIENTO: 800009<br>TIPO: C.S. AMBULATORIO<br>SUB_SEC: Público<br>NIVEL: 1er NIVEL<br>INSTITUCION: G.A.M.<br>AMBITO: U<br>ZONA_O_BARRIO: PEDRO MARBAN<br>DIRECCION_ESTAB,,,,,"-1","0","-1",,,BENI,TRINIDAD,01 TRINIDAD,"800009.0",C.S. AMBULATORIO,Público,1er NIVEL,G.A.M.,U,PEDRO MARBAN,AV/ SANTOS NOCO,12 Hrs.,CONTINUO,"2.0","1.0","4.0","0.0","0.0","5.0","2.0","1.0","2.0","1.0","1.0","7.0","3.0","2.0","12.0","2.0","11.0","13.0",S/T,YOBANA MONTERO HURTADO,,"956732.0","-14.844955","-64.91147",migra1_1ernivel,D:\SIGDGGH\mapas\migra1_1ernivel.shp,./0.png
-64.89441,-14.844367,POMPEYA,DEPARTAMENTO: BENI      <br>MUNICIPIO: TRINIDAD<br>RED: 01 TRINIDAD<br>CODIGO_ESTABLECIMIENTO: 800010<br>TIPO: C.S. AMBULATORIO<br>SUB_SEC: Público<br>NIVEL: 1er NIVEL<br>INSTITUCION: G.A.M.<br>AMBITO: U<br>ZONA_O_BARRIO: VILLA CORINA<br>DIRECCION_ESTAB,,,,,"-1","0","-1",,,BENI,TRINIDAD,01 TRINIDAD,"800010.0",C.S. AMBULATORIO,Público,1er NIVEL,G.A.M.,U,VILLA CORINA,AVENIDA BENI,12 Hrs.,CONTINUO,"2.0","2.0","2.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","1.0","1.0","76793279",JUANA YSABEL PARRA BALLEJOS,,"956732.0","-14.844367","-64.89441",migra1_1ernivel,D:\SIGDGGH\mapas\migra1_1ernivel.shp,./0.png
-64.90241,-14.822022,POLICONS. CAJA PETROLERA,DEPARTAMENTO: BENI      <br>MUNICIPIO: TRINIDAD<br>RED: 01 TRINIDAD<br>CODIGO_ESTABLECIMIENTO: 800011<br>TIPO: POLICONSULTORIO<br>SUB_SEC: Seguridad Social (CAJAS)<br>NIVEL: 1er NIVEL<br>INSTITUCION: Caja Petrolera de Salud<br>AMBITO: U<br>ZONA_O_BARRIO:,,,,,"-1","0","-1",,,BENI,TRINIDAD,01 TRINIDAD,"800011.0",POLICONSULTORIO,Seguridad Social (CAJAS),1er NIVEL,Caja Petrolera de Salud,U,EL CARMEN,ALFREDO PEREYRA ESQUINA AV GANADERA,24 Hrs.,CONTINUO,"5.0","5.0","15.0","0.0","0.0","14.0","2.0","0.0","1.0","3.0","0.0","15.0","5.0","0.0","20.0","23.0","4.0","27.0","34622361",ALEJANDRO MOLINA CORDOVA,,"956732.0","-14.822022","-64.90241",migra1_1ernivel,D:\SIGDGGH\mapas\migra1_1ernivel.shp,./0.png
-64.90142,-14.845316,CENTRO DE SALUD CARITAS,DEPARTAMENTO: BENI      <br>MUNICIPIO: TRINIDAD<br>RED: 01 TRINIDAD<br>CODIGO_ESTABLECIMIENTO: 800015<br>TIPO: C.S. AMBULATORIO<br>SUB_SEC: Iglesia<br>NIVEL: 1er NIVEL<br>INSTITUCION: Iglesia Católica<br>AMBITO: U<br>ZONA_O_BARRIO: 4 DE FEBRERO<br>DIREC,,,,,"-1","0","-1",,,BENI,TRINIDAD,01 TRINIDAD,"800015.0",C.S. AMBULATORIO,Iglesia,1er NIVEL,Iglesia Católica,U,4 DE FEBRERO,ROGUAGUADO  ESQ. ISIBORO,8 Hrs.,DISCONTINUO,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0","1.0","0.0","3.0","1.0","4.0","0.0","9.0","9.0","4620574",ROSMARY LLADO RICARD,,"956732.0","-14.845316","-64.90142",migra1_1ernivel,D:\SIGDGGH\mapas\migra1_1ernivel.shp,./0.png
-64.88899,-14.816003,12 DE ABRIL,DEPARTAMENTO: BENI      <br>MUNICIPIO: TRINIDAD<br>RED: 01 TRINIDAD<br>CODIGO_ESTABLECIMIENTO: 800016<br>TIPO: C.S. AMBULATORIO<br>SUB_SEC: Público<br>NIVEL: 1er NIVEL<br>INSTITUCION: G.A.M.<br>AMBITO: U<br>ZONA_O_BARRIO: 12 DE ABRIL<br>DIRECCION_ESTABL,,,,,"-1","0","-1",,,BENI,TRINIDAD,01 TRINIDAD,"800016.0",C.S. AMBULATORIO,Público,1er NIVEL,G.A.M.,U,12 DE ABRIL,23 DE JULIO,12 Hrs.,CONTINUO,"1.0","1.0","0.0","0.0","0.0","2.0","1.0","2.0","1.0","1.0","1.0","3.0","2.0","3.0","8.0","2.0","5.0","7.0",S/T,MAICOL GUARDIA AÑEZ,,"956732.0","-14.816003","-64.88899",migra1_1ernivel,D:\SIGDGGH\mapas\migra1_1ernivel.shp,./0.png
-64.96622,-14.872085,PUERTO ALMACEN,DEPARTAMENTO: BENI      <br>MUNICIPIO: TRINIDAD<br>RED: 01 TRINIDAD<br>CODIGO_ESTABLECIMIENTO: 800017<br>TIPO: C.S. AMBULATORIO<br>SUB_SEC: Público<br>NIVEL: 1er NIVEL<br>INSTITUCION: G.A.M.<br>AMBITO: U<br>ZONA_O_BARRIO: PUERTO ALMACEN<br>DIRECCION_EST,,,,,"-1","0","-1",,,BENI,TRINIDAD,01 TRINIDAD,"800017.0",C.S. AMBULATORIO,Público,1er NIVEL,G.A.M.,U,PUERTO ALMACEN,AVENIDA PRICIPAL,12 Hrs.,CONTINUO,"1.0","1.0","2.0","0.0","0.0","1.0","0.0","0.0","1.0","1.0","1.0","2.0","1.0","1.0","4.0","2.0","4.0","6.0",S/T,MIRIAM JANNETH AYLLON RIVERA,,"956732.0","-14.872085","-64.96622",migra1_1ernivel,D:\SIGDGGH\mapas\migra1_1ernivel.shp,./0.png
-64.87771,-14.810033,VILLA VECINAL,DEPARTAMENTO: BENI      <br>MUNICIPIO: TRINIDAD<br>RED: 01 TRINIDAD<br>CODIGO_ESTABLECIMIENTO: 800018<br>TIPO: C.S. AMBULATORIO<br>SUB_SEC: Público<br>NIVEL: 1er NIVEL<br>INSTITUCION: G.A.M.<br>AMBITO: U<br>ZONA_O_BARRIO: VILLA VECINAL<br>DIRECCION_ESTA,,,,,"-1","0","-1",,,BENI,TRINIDAD,01 TRINIDAD,"800018.0",C.S. AMBULATORIO,Público,1er NIVEL,G.A.M.,U,VILLA VECINAL,AV. PRINCIPAL,12 Hrs.,DISCONTINUO,"4.0","4.0","0.0","0.0","0.0","2.0","2.0","1.0","2.0","2.0","0.0","4.0","4.0","1.0","9.0","2.0","8.0","10.0","79205528",JOSE LUIS MURILLO CUSSI,,"956732.0","-14.810033","-64.87771",migra1_1ernivel,D:\SIGDGGH\mapas\migra1_1ernivel.shp,./0.png
