X,Y,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,DEPARTAMENTO,MUNICIPIO,RED,CODIGO__ESTABLECIMIENTO,TIPO,SUB_SEC,NIVEL,INSTITUCION,AMBITO,ZONA_O_BARRIO,DIRECCION_DEL_ESTABLECIMIENTO,HORARIO_DE_ATENCION,HORARIO,No_CAMAS_EMERGENCIA,No_CAMAS_OBSERVACION,No_CAMAS_INTERNACION,No_CAMAS_UTI,No_CAMAS_UCI,No_MEDICO_C_ITEM,No_LIC_ENF_C_ITEM,No_AUX_ENF_C_ITEM,No_MEDICO_C_CONTRATO,No_LIC_ENF_C_CONTRATO,No_AUX_ENF_C_CONTRATO,TOTAL_MEDICOS,TOTAL_LIC_ENFERMERAS,TOTAL_AUX_ENFERMERAS,TOTAL_RR_HH_BATA_BLANCA,OTROS_RRHH_C_ITEM,OTROS_RRHH_C_CONTRATO,TOTAL_RR_HH_BATA_GRIS,TELEFONO_ESTABLECIMIENTO,NOMBRE_DIRECTOR,CELULAR_RESPONSABLE,POBLAC_PROYEC_2022,LATITUD,LONGITUD,icon_url
-63.20998,-17.81415,CSBP - CLINICA SANTA CRUZ                                     ,DEPARTAMENTO: SANTA CRUZ<br>MUNICIPIO: SANTA CRUZ DE LA SIERRA       <br>RED: HOSPITALES (URB.)        <br>CODIGO  ESTABLECIMIENTO: 700077<br>TIPO: HOSPITAL SEGUNDO NIVEL<br>SUB SEC: Seguridad Social (CAJAS)      <br>NIVEL: 2do NIVEL <br>INSTITUCION: Caja de Salud de La Banca Privada  <br>AMBITO: U<br>ZONA O BARRIO: Z / CENTRAL <br>DIRECCION DEL ESTABLECIMIENTO: CALLE SARAH  Nº 129<br>HORARIO DE ATENCION: 24 Hrs.<br>HORARIO: CONTINUO<br>No CAMAS EMERGENCIA: 4<br>No CAMAS OBSERVACION: 3<br>No CAMAS INTERNACION: 45<br>No CAMAS UTI: 6<br>No CAMAS UCI: 0<br>No MEDICO C/ITEM: 19<br>No LIC.ENF C/ITEM: 19<br>No AUX ENF C/ITEM: 18<br>No MEDICO C/CONTRATO: 0<br>No LIC ENF C/CONTRATO: 0<br>No AUX ENF C/CONTRATO: 0<br>TOTAL MEDICOS: 19<br>TOTAL LIC ENFERMERAS: 19<br>TOTAL AUX ENFERMERAS: 18<br>TOTAL RR HH BATA BLANCA: 56<br>OTROS RRHH C/ITEM: 47<br>OTROS RRHH C/CONTRATO: 0<br>TOTAL RR HH BATA GRIS: 47<br>TELEFONO ESTABLECIMIENTO: 3373131<br>NOMBRE DIRECTOR: Dr.EVER FILEMON SOTO<br>CELULAR RESPONSABLE: <br>POBLAC PROYEC 2022: 1903398<br>LATITUD: -17.81415<br>LONGITUD: -63.20998,,,,,"-1","0","-1",,,SANTA CRUZ,SANTA CRUZ DE LA SIERRA       ,HOSPITALES (URB.)        ,"700077.0",HOSPITAL SEGUNDO NIVEL,Seguridad Social (CAJAS)      ,2do NIVEL ,Caja de Salud de La Banca Privada  ,U,Z / CENTRAL ,CALLE SARAH  Nº 129,24 Hrs.,CONTINUO,"4","3.0","45.0","6.0","0.0","19.0","19.0","18.0","0.0","0.0","0.0","19.0","19.0","18.0","56.0","47.0","0.0","47.0","3373131",Dr.EVER FILEMON SOTO,,"1903398.0","-17.81415","-63.20998",
-63.171966,-17.773556,H.B.  KOLPING PARAISO  ,DEPARTAMENTO: SANTA CRUZ<br>MUNICIPIO: SANTA CRUZ DE LA SIERRA       <br>RED: RED CENTRO               <br>CODIGO  ESTABLECIMIENTO: 700046<br>TIPO: HOSPITAL SEGUNDO NIVEL<br>SUB SEC: Iglesia                       <br>NIVEL: 2do NIVEL <br>INSTITUCION: Iglesia Católica                   <br>AMBITO: U<br>ZONA O BARRIO: Barrio  Paraíso<br>DIRECCION DEL ESTABLECIMIENTO: Bernabe Sosa/ lavadenz<br>HORARIO DE ATENCION: 12 Hrs.<br>HORARIO: DISCONTINUO<br>No CAMAS EMERGENCIA: 1<br>No CAMAS OBSERVACION: 2<br>No CAMAS INTERNACION: 0<br>No CAMAS UTI: 0<br>No CAMAS UCI: 0<br>No MEDICO C/ITEM: 0<br>No LIC.ENF C/ITEM: 0<br>No AUX ENF C/ITEM: 0<br>No MEDICO C/CONTRATO: 55<br>No LIC ENF C/CONTRATO: 4<br>No AUX ENF C/CONTRATO: 3<br>TOTAL MEDICOS: 55<br>TOTAL LIC ENFERMERAS: 4<br>TOTAL AUX ENFERMERAS: 3<br>TOTAL RR HH BATA BLANCA: 62<br>OTROS RRHH C/ITEM: 0<br>OTROS RRHH C/CONTRATO: 57<br>TOTAL RR HH BATA GRIS: 57<br>TELEFONO ESTABLECIMIENTO: 33349946<br>NOMBRE DIRECTOR: Dr.ERWIN ABEL MONTENEGRO ESCALANTE<br>CELULAR RESPONSABLE: <br>POBLAC PROYEC 2022: 1903398<br>LATITUD: -17.773556<br>LONGITUD: -63.171966,,,,,"-1","0","-1",,,SANTA CRUZ,SANTA CRUZ DE LA SIERRA       ,RED CENTRO               ,"700046.0",HOSPITAL SEGUNDO NIVEL,Iglesia                       ,2do NIVEL ,Iglesia Católica                   ,U,Barrio  Paraíso,Bernabe Sosa/ lavadenz,12 Hrs.,DISCONTINUO,"1","2.0","0.0","0.0","0.0","0.0","0.0","0.0","55.0","4.0","3.0","55.0","4.0","3.0","62.0","0.0","57.0","57.0","33349946",Dr.ERWIN ABEL MONTENEGRO ESCALANTE,,"1903398.0","-17.773556","-63.171966",
-63.19909,-17.8033,H.B. CL. MELENDRES   ,DEPARTAMENTO: SANTA CRUZ<br>MUNICIPIO: SANTA CRUZ DE LA SIERRA       <br>RED: RED CENTRO               <br>CODIGO  ESTABLECIMIENTO: 700076<br>TIPO: HOSPITAL SEGUNDO NIVEL<br>SUB SEC: Organismos Privados           <br>NIVEL: 2do NIVEL <br>INSTITUCION: Entidades Privadas                 <br>AMBITO: U<br>ZONA O BARRIO: BARRIO COOPER<br>DIRECCION DEL ESTABLECIMIENTO: AVENIDA GRIGOTA 3ER ANILLO INTERNO<br>HORARIO DE ATENCION: 24 Hrs.<br>HORARIO: CONTINUO<br>No CAMAS EMERGENCIA: 2<br>No CAMAS OBSERVACION: 3<br>No CAMAS INTERNACION: 30<br>No CAMAS UTI: 4<br>No CAMAS UCI: 1<br>No MEDICO C/ITEM: 0<br>No LIC.ENF C/ITEM: 0<br>No AUX ENF C/ITEM: 0<br>No MEDICO C/CONTRATO: 1<br>No LIC ENF C/CONTRATO: 11<br>No AUX ENF C/CONTRATO: 24<br>TOTAL MEDICOS: 1<br>TOTAL LIC ENFERMERAS: 11<br>TOTAL AUX ENFERMERAS: 24<br>TOTAL RR HH BATA BLANCA: 36<br>OTROS RRHH C/ITEM: 0<br>OTROS RRHH C/CONTRATO: 49<br>TOTAL RR HH BATA GRIS: 49<br>TELEFONO ESTABLECIMIENTO: 3520982<br>NOMBRE DIRECTOR: Dr.RAUL DAVID GARNICA SALGADO<br>CELULAR RESPONSABLE: <br>POBLAC PROYEC 2022: 1903398<br>LATITUD: -17.8033<br>LONGITUD: -63.19909,,,,,"-1","0","-1",,,SANTA CRUZ,SANTA CRUZ DE LA SIERRA       ,RED CENTRO               ,"700076.0",HOSPITAL SEGUNDO NIVEL,Organismos Privados           ,2do NIVEL ,Entidades Privadas                 ,U,BARRIO COOPER,AVENIDA GRIGOTA 3ER ANILLO INTERNO,24 Hrs.,CONTINUO,"2","3.0","30.0","4.0","1.0","0.0","0.0","0.0","1.0","11.0","24.0","1.0","11.0","24.0","36.0","0.0","49.0","49.0","3520982",Dr.RAUL DAVID GARNICA SALGADO,,"1903398.0","-17.8033","-63.19909",
-63.188687,-17.746915,H.B. CLINICA PEREYRA ,DEPARTAMENTO: SANTA CRUZ<br>MUNICIPIO: SANTA CRUZ DE LA SIERRA       <br>RED: RED CENTRO               <br>CODIGO  ESTABLECIMIENTO: 700088<br>TIPO: HOSPITAL SEGUNDO NIVEL<br>SUB SEC: Organismos Privados           <br>NIVEL: 2do NIVEL <br>INSTITUCION: Entidades Privadas                 <br>AMBITO: U<br>ZONA O BARRIO: Barrio Oriental<br>DIRECCION DEL ESTABLECIMIENTO: Calle Picaflor<br>HORARIO DE ATENCION: 24 Hrs.<br>HORARIO: CONTINUO<br>No CAMAS EMERGENCIA: 1<br>No CAMAS OBSERVACION: 1<br>No CAMAS INTERNACION: 12<br>No CAMAS UTI: 0<br>No CAMAS UCI: 0<br>No MEDICO C/ITEM: 0<br>No LIC.ENF C/ITEM: 0<br>No AUX ENF C/ITEM: 0<br>No MEDICO C/CONTRATO: 3<br>No LIC ENF C/CONTRATO: 0<br>No AUX ENF C/CONTRATO: 5<br>TOTAL MEDICOS: 3<br>TOTAL LIC ENFERMERAS: 0<br>TOTAL AUX ENFERMERAS: 5<br>TOTAL RR HH BATA BLANCA: 8<br>OTROS RRHH C/ITEM: 1<br>OTROS RRHH C/CONTRATO: 5<br>TOTAL RR HH BATA GRIS: 6<br>TELEFONO ESTABLECIMIENTO: 33426368<br>NOMBRE DIRECTOR: Dr.HUMBERTO PEREIRA SALAZAR<br>CELULAR RESPONSABLE: <br>POBLAC PROYEC 2022: 1903398<br>LATITUD: -17.746915<br>LONGITUD: -63.188687,,,,,"-1","0","-1",,,SANTA CRUZ,SANTA CRUZ DE LA SIERRA       ,RED CENTRO               ,"700088.0",HOSPITAL SEGUNDO NIVEL,Organismos Privados           ,2do NIVEL ,Entidades Privadas                 ,U,Barrio Oriental,Calle Picaflor,24 Hrs.,CONTINUO,"1","1.0","12.0","0.0","0.0","0.0","0.0","0.0","3.0","0.0","5.0","3.0","0.0","5.0","8.0","1.0","5.0","6.0","33426368",Dr.HUMBERTO PEREIRA SALAZAR,,"1903398.0","-17.746915","-63.188687",
-63.1799,-17.79113,H.B. CL. ANGEL FOIANINI,DEPARTAMENTO: SANTA CRUZ<br>MUNICIPIO: SANTA CRUZ DE LA SIERRA       <br>RED: RED CENTRO               <br>CODIGO  ESTABLECIMIENTO: 700100<br>TIPO: HOSPITAL SEGUNDO NIVEL<br>SUB SEC: Organismos Privados           <br>NIVEL: 2do NIVEL <br>INSTITUCION: Entidades Privadas                 <br>AMBITO: U<br>ZONA O BARRIO: CENTRO<br>DIRECCION DEL ESTABLECIMIENTO: C/ CHUQUISACA 737<br>HORARIO DE ATENCION: 24 Hrs.<br>HORARIO: CONTINUO<br>No CAMAS EMERGENCIA: 10<br>No CAMAS OBSERVACION: 0<br>No CAMAS INTERNACION: 51<br>No CAMAS UTI: 0<br>No CAMAS UCI: 11<br>No MEDICO C/ITEM: 11<br>No LIC.ENF C/ITEM: 24<br>No AUX ENF C/ITEM: 14<br>No MEDICO C/CONTRATO: 0<br>No LIC ENF C/CONTRATO: 4<br>No AUX ENF C/CONTRATO: 0<br>TOTAL MEDICOS: 11<br>TOTAL LIC ENFERMERAS: 28<br>TOTAL AUX ENFERMERAS: 14<br>TOTAL RR HH BATA BLANCA: 53<br>OTROS RRHH C/ITEM: 51<br>OTROS RRHH C/CONTRATO: 4<br>TOTAL RR HH BATA GRIS: 55<br>TELEFONO ESTABLECIMIENTO: 3-3362211<br>NOMBRE DIRECTOR: Dr.JORGE ESTEBAN FOIANINI GUTIERREZ<br>CELULAR RESPONSABLE: <br>POBLAC PROYEC 2022: 1903398<br>LATITUD: -17.79113<br>LONGITUD: -63.1799,,,,,"-1","0","-1",,,SANTA CRUZ,SANTA CRUZ DE LA SIERRA       ,RED CENTRO               ,"700100.0",HOSPITAL SEGUNDO NIVEL,Organismos Privados           ,2do NIVEL ,Entidades Privadas                 ,U,CENTRO,C/ CHUQUISACA 737,24 Hrs.,CONTINUO,"10","0.0","51.0","0.0","11.0","11.0","24.0","14.0","0.0","4.0","0.0","11.0","28.0","14.0","53.0","51.0","4.0","55.0",3-3362211,Dr.JORGE ESTEBAN FOIANINI GUTIERREZ,,"1903398.0","-17.79113","-63.1799",
-63.200466,-17.80774,H.B. CL. #3 POLICIAL  ,DEPARTAMENTO: SANTA CRUZ<br>MUNICIPIO: SANTA CRUZ DE LA SIERRA       <br>RED: RED CENTRO               <br>CODIGO  ESTABLECIMIENTO: 700104<br>TIPO: HOSPITAL SEGUNDO NIVEL<br>SUB SEC: Policia Nacional              <br>NIVEL: 2do NIVEL <br>INSTITUCION: Policia Nacional                   <br>AMBITO: U<br>ZONA O BARRIO: BARRIO VILLA FATIMA<br>DIRECCION DEL ESTABLECIMIENTO: AVENIDA ESCUADRON VELASCO Y CALLE REGIMIENTO LANZA<br>HORARIO DE ATENCION: 24 Hrs.<br>HORARIO: CONTINUO<br>No CAMAS EMERGENCIA: 2<br>No CAMAS OBSERVACION: 1<br>No CAMAS INTERNACION: 20<br>No CAMAS UTI: 2<br>No CAMAS UCI: 0<br>No MEDICO C/ITEM: 16<br>No LIC.ENF C/ITEM: 5<br>No AUX ENF C/ITEM: 12<br>No MEDICO C/CONTRATO: 0<br>No LIC ENF C/CONTRATO: 0<br>No AUX ENF C/CONTRATO: 0<br>TOTAL MEDICOS: 16<br>TOTAL LIC ENFERMERAS: 5<br>TOTAL AUX ENFERMERAS: 12<br>TOTAL RR HH BATA BLANCA: 33<br>OTROS RRHH C/ITEM: 74<br>OTROS RRHH C/CONTRATO: 1<br>TOTAL RR HH BATA GRIS: 75<br>TELEFONO ESTABLECIMIENTO: 3596959<br>NOMBRE DIRECTOR: Dr.ROMERO CUADROS<br>CELULAR RESPONSABLE: <br>POBLAC PROYEC 2022: 1903398<br>LATITUD: -17.80774<br>LONGITUD: -63.200466,,,,,"-1","0","-1",,,SANTA CRUZ,SANTA CRUZ DE LA SIERRA       ,RED CENTRO               ,"700104.0",HOSPITAL SEGUNDO NIVEL,Policia Nacional              ,2do NIVEL ,Policia Nacional                   ,U,BARRIO VILLA FATIMA,AVENIDA ESCUADRON VELASCO Y CALLE REGIMIENTO LANZA,24 Hrs.,CONTINUO,"2","1.0","20.0","2.0","0.0","16.0","5.0","12.0","0.0","0.0","0.0","16.0","5.0","12.0","33.0","74.0","1.0","75.0","3596959",Dr.ROMERO CUADROS,,"1903398.0","-17.80774","-63.200466",
-63.17269,-17.79049,H.B. CLINICA SANTA MARIA  ,DEPARTAMENTO: SANTA CRUZ<br>MUNICIPIO: SANTA CRUZ DE LA SIERRA       <br>RED: RED CENTRO               <br>CODIGO  ESTABLECIMIENTO: 700105<br>TIPO: HOSPITAL SEGUNDO NIVEL<br>SUB SEC: Organismos Privados           <br>NIVEL: 2do NIVEL <br>INSTITUCION: Entidades Privadas                 <br>AMBITO: U<br>ZONA O BARRIO: S/D<br>DIRECCION DEL ESTABLECIMIENTO: <br>HORARIO DE ATENCION: 24 Hrs.<br>HORARIO: CONTINUO<br>No CAMAS EMERGENCIA: S/D<br>No CAMAS OBSERVACION: <br>No CAMAS INTERNACION: <br>No CAMAS UTI: <br>No CAMAS UCI: <br>No MEDICO C/ITEM: 0<br>No LIC.ENF C/ITEM: 0<br>No AUX ENF C/ITEM: 0<br>No MEDICO C/CONTRATO: 0<br>No LIC ENF C/CONTRATO: 0<br>No AUX ENF C/CONTRATO: 0<br>TOTAL MEDICOS: 0<br>TOTAL LIC ENFERMERAS: 0<br>TOTAL AUX ENFERMERAS: 0<br>TOTAL RR HH BATA BLANCA: 0<br>OTROS RRHH C/ITEM: 0<br>OTROS RRHH C/CONTRATO: 0<br>TOTAL RR HH BATA GRIS: 0<br>TELEFONO ESTABLECIMIENTO: S/D<br>NOMBRE DIRECTOR: S/D<br>CELULAR RESPONSABLE: <br>POBLAC PROYEC 2022: 1903398<br>LATITUD: -17.79049<br>LONGITUD: -63.17269,,,,,"-1","0","-1",,,SANTA CRUZ,SANTA CRUZ DE LA SIERRA       ,RED CENTRO               ,"700105.0",HOSPITAL SEGUNDO NIVEL,Organismos Privados           ,2do NIVEL ,Entidades Privadas                 ,U,S/D,,24 Hrs.,CONTINUO,S/D,,,,,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",S/D,S/D,,"1903398.0","-17.79049","-63.17269",
-63.17459,-17.77652,H.B. CLINICA SAAVEDRA   ,DEPARTAMENTO: SANTA CRUZ<br>MUNICIPIO: SANTA CRUZ DE LA SIERRA       <br>RED: RED CENTRO               <br>CODIGO  ESTABLECIMIENTO: 700107<br>TIPO: HOSPITAL SEGUNDO NIVEL<br>SUB SEC: Organismos Privados           <br>NIVEL: 2do NIVEL <br>INSTITUCION: Entidades Privadas                 <br>AMBITO: U<br>ZONA O BARRIO: barrio Casco Viejo<br>DIRECCION DEL ESTABLECIMIENTO: calle barron 480<br>HORARIO DE ATENCION: 24 Hrs.<br>HORARIO: CONTINUO<br>No CAMAS EMERGENCIA: 1<br>No CAMAS OBSERVACION: 2<br>No CAMAS INTERNACION: 16<br>No CAMAS UTI: 4<br>No CAMAS UCI: 1<br>No MEDICO C/ITEM: 0<br>No LIC.ENF C/ITEM: 0<br>No AUX ENF C/ITEM: 0<br>No MEDICO C/CONTRATO: 1<br>No LIC ENF C/CONTRATO: 7<br>No AUX ENF C/CONTRATO: 8<br>TOTAL MEDICOS: 1<br>TOTAL LIC ENFERMERAS: 7<br>TOTAL AUX ENFERMERAS: 8<br>TOTAL RR HH BATA BLANCA: 16<br>OTROS RRHH C/ITEM: 0<br>OTROS RRHH C/CONTRATO: 10<br>TOTAL RR HH BATA GRIS: 10<br>TELEFONO ESTABLECIMIENTO: 3355723<br>NOMBRE DIRECTOR: EMIL SAAVEDRA FLORES <br>CELULAR RESPONSABLE: <br>POBLAC PROYEC 2022: 1903398<br>LATITUD: -17.77652<br>LONGITUD: -63.17459,,,,,"-1","0","-1",,,SANTA CRUZ,SANTA CRUZ DE LA SIERRA       ,RED CENTRO               ,"700107.0",HOSPITAL SEGUNDO NIVEL,Organismos Privados           ,2do NIVEL ,Entidades Privadas                 ,U,barrio Casco Viejo,calle barron 480,24 Hrs.,CONTINUO,"1","2.0","16.0","4.0","1.0","0.0","0.0","0.0","1.0","7.0","8.0","1.0","7.0","8.0","16.0","0.0","10.0","10.0","3355723",EMIL SAAVEDRA FLORES ,,"1903398.0","-17.77652","-63.17459",
-63.19521,-17.78783,H.B. CLINICA INCOR   ,DEPARTAMENTO: SANTA CRUZ<br>MUNICIPIO: SANTA CRUZ DE LA SIERRA       <br>RED: RED CENTRO               <br>CODIGO  ESTABLECIMIENTO: 700109<br>TIPO: HOSPITAL SEGUNDO NIVEL<br>SUB SEC: Organismos Privados           <br>NIVEL: 2do NIVEL <br>INSTITUCION: Entidades Privadas                 <br>AMBITO: U<br>ZONA O BARRIO: Santa Rosita<br>DIRECCION DEL ESTABLECIMIENTO: Av. 26 de febrero  N° 510 esq. Caranda y Robore<br>HORARIO DE ATENCION: 24 Hrs.<br>HORARIO: CONTINUO<br>No CAMAS EMERGENCIA: 7<br>No CAMAS OBSERVACION: 4<br>No CAMAS INTERNACION: 30<br>No CAMAS UTI: 10<br>No CAMAS UCI: 4<br>No MEDICO C/ITEM: 0<br>No LIC.ENF C/ITEM: 0<br>No AUX ENF C/ITEM: 0<br>No MEDICO C/CONTRATO: 0<br>No LIC ENF C/CONTRATO: 22<br>No AUX ENF C/CONTRATO: 52<br>TOTAL MEDICOS: 0<br>TOTAL LIC ENFERMERAS: 22<br>TOTAL AUX ENFERMERAS: 52<br>TOTAL RR HH BATA BLANCA: 74<br>OTROS RRHH C/ITEM: 0<br>OTROS RRHH C/CONTRATO: 1<br>TOTAL RR HH BATA GRIS: 1<br>TELEFONO ESTABLECIMIENTO: 3-5204444<br>NOMBRE DIRECTOR: Dr.NESTOR ALFREDO ROMERO DAVALOS <br>CELULAR RESPONSABLE: <br>POBLAC PROYEC 2022: 1903398<br>LATITUD: -17.78783<br>LONGITUD: -63.19521,,,,,"-1","0","-1",,,SANTA CRUZ,SANTA CRUZ DE LA SIERRA       ,RED CENTRO               ,"700109.0",HOSPITAL SEGUNDO NIVEL,Organismos Privados           ,2do NIVEL ,Entidades Privadas                 ,U,Santa Rosita,Av. 26 de febrero  N° 510 esq. Caranda y Robore,24 Hrs.,CONTINUO,"7","4.0","30.0","10.0","4.0","0.0","0.0","0.0","0.0","22.0","52.0","0.0","22.0","52.0","74.0","0.0","1.0","1.0",3-5204444,Dr.NESTOR ALFREDO ROMERO DAVALOS ,,"1903398.0","-17.78783","-63.19521",
-63.18786,-17.77732,H.B. CLINICA NIÑO JESUS    ,DEPARTAMENTO: SANTA CRUZ<br>MUNICIPIO: SANTA CRUZ DE LA SIERRA       <br>RED: RED CENTRO               <br>CODIGO  ESTABLECIMIENTO: 700114<br>TIPO: HOSPITAL SEGUNDO NIVEL<br>SUB SEC: Organismos Privados           <br>NIVEL: 2do NIVEL <br>INSTITUCION: Entidades Privadas                 <br>AMBITO: U<br>ZONA O BARRIO: central primer anillo<br>DIRECCION DEL ESTABLECIMIENTO: avenida cañoto ezquina rafael peña<br>HORARIO DE ATENCION: 24 Hrs.<br>HORARIO: CONTINUO<br>No CAMAS EMERGENCIA: 2<br>No CAMAS OBSERVACION: 3<br>No CAMAS INTERNACION: 32<br>No CAMAS UTI: 5<br>No CAMAS UCI: 0<br>No MEDICO C/ITEM: 0<br>No LIC.ENF C/ITEM: 0<br>No AUX ENF C/ITEM: 0<br>No MEDICO C/CONTRATO: 6<br>No LIC ENF C/CONTRATO: 29<br>No AUX ENF C/CONTRATO: 24<br>TOTAL MEDICOS: 6<br>TOTAL LIC ENFERMERAS: 29<br>TOTAL AUX ENFERMERAS: 24<br>TOTAL RR HH BATA BLANCA: 59<br>OTROS RRHH C/ITEM: 0<br>OTROS RRHH C/CONTRATO: 90<br>TOTAL RR HH BATA GRIS: 90<br>TELEFONO ESTABLECIMIENTO: 3366969<br>NOMBRE DIRECTOR: Dra.LAURENT ELIANA FERNANDEZ  MENDEZ<br>CELULAR RESPONSABLE: <br>POBLAC PROYEC 2022: 1903398<br>LATITUD: -17.77732<br>LONGITUD: -63.18786,,,,,"-1","0","-1",,,SANTA CRUZ,SANTA CRUZ DE LA SIERRA       ,RED CENTRO               ,"700114.0",HOSPITAL SEGUNDO NIVEL,Organismos Privados           ,2do NIVEL ,Entidades Privadas                 ,U,central primer anillo,avenida cañoto ezquina rafael peña,24 Hrs.,CONTINUO,"2","3.0","32.0","5.0","0.0","0.0","0.0","0.0","6.0","29.0","24.0","6.0","29.0","24.0","59.0","0.0","90.0","90.0","3366969",Dra.LAURENT ELIANA FERNANDEZ  MENDEZ,,"1903398.0","-17.77732","-63.18786",
